gene_symbol	logFC_TVsS	adj.P.Val_TVsS	dir	muscle	airway	tissue_marker
SLC25A4	-5.98953659726467	3.2325868180086e-4	down	TRUE	FALSE	TRUE
MYLPF	-5.290867892	9.3170426784096e-4	down	TRUE	FALSE	TRUE
HSPB6	-4.923078668	3.3019331536891e-4	down	FALSE	FALSE	FALSE
MYL2	-4.90702374199999	0.00176564890459457	down	TRUE	FALSE	TRUE
CASQ1	-4.84000279900001	0.00361947890048227	down	TRUE	FALSE	TRUE
SYPL2	-4.72369531988553	0.00220667427736848	down	TRUE	FALSE	TRUE
FHL1	-4.700963812	0.00394125741195293	down	TRUE	FALSE	TRUE
MYH2	-4.6845230864	0.00350202914268021	down	TRUE	FALSE	TRUE
MYL3	-4.656825903	0.00255695861845173	down	TRUE	FALSE	TRUE
MYH7	-4.5725399479	0.00396712190786483	down	TRUE	FALSE	TRUE
BPIFB1	-4.41543257021684	0.00255695861845173	down	FALSE	TRUE	TRUE
CRYAB	-4.3417081705763	0.00173706416519398	down	FALSE	FALSE	FALSE
LDB3	-4.2683009947	0.0102581944120163	down	TRUE	FALSE	TRUE
BPIFA1	-4.16673174557707	0.0254515901787142	down	FALSE	TRUE	TRUE
PYGM	-4.01271976317115	0.00218711530771388	down	TRUE	FALSE	TRUE
MYL1	-4.000286426	0.00412184136573749	down	TRUE	FALSE	TRUE
GPD1	-3.99723002138425	0.00176564890459457	down	FALSE	FALSE	FALSE
TCAP	-3.93191668590246	0.0191749782925373	down	TRUE	FALSE	TRUE
PADI2	-3.85901967816264	0.00275109219973713	down	FALSE	FALSE	FALSE
ATP2A1	-3.75645729524719	0.00361947890048227	down	TRUE	FALSE	TRUE
CKMT2	-3.7294954775	0.0141870780923442	down	TRUE	FALSE	TRUE
S100A1	-3.69623282249999	0.0141870780923442	down	FALSE	FALSE	FALSE
TNNI1	-3.664266435	0.019485451638104	down	TRUE	FALSE	TRUE
CYC1	-3.64675515597895	2.718079691965e-4	down	FALSE	FALSE	FALSE
AGR2	-3.63579281040001	0.00439578095578512	down	FALSE	FALSE	FALSE
AK1	-3.61658550540001	0.00582139996934979	down	FALSE	FALSE	FALSE
ADH1B	-3.61530011517555	0.00818351026088852	down	FALSE	FALSE	FALSE
