drug_name_norm	primary_target	composite_score	TargetPriority	DrugViability	primary_target_centrality	primary_pi	rank_composite	rank_cent	rank_pi
GEFITINIB	EGFR	0.71681844849254	0.605422740918836	0.883912009853096	0.469137969591305	0.771993016985817	1	3	1
LAPATINIB	EGFR	0.697698456676672	0.605422740918836	0.836112030313426	0.469137969591305	0.771993016985817	2	3	1
AFATINIB	EGFR	0.694681965882046	0.605422740918836	0.82857080332686	0.469137969591305	0.771993016985817	3	3	1
ERLOTINIB	EGFR	0.688537922412291	0.605422740918836	0.813210694652474	0.469137969591305	0.771993016985817	4	3	1
NERATINIB	EGFR	0.638618638030224	0.605422740918836	0.688412483697306	0.469137969591305	0.771993016985817	5	3	1
VANDETANIB	EGFR	0.619529134428377	0.605422740918836	0.640688724692688	0.469137969591305	0.771993016985817	6	3	1
DACOMITINIB	EGFR	0.59595285669509	0.605422740918836	0.58174803035947	0.469137969591305	0.771993016985817	7	3	1
METFORMIN	NDUFS2	0.590995629306915	0.501956309030465	0.72455460972159	0.660189113952916	0.30856065856969	8	1	147
CETUXIMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
NIMOTUZUMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
PANITUMUMAB	EGFR	0.583253644551301	0.605422740918836	0.55	0.469137969591305	0.771993016985817	9	3	1
AMIVANTAMAB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
AUMOLERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
BRIGATINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
ICOTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
LAZERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
MOBOCERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
NECITUMUMAB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
OLMUTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
OSIMERTINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
ROCILETINIB	EGFR	0.543253644551301	0.605422740918836	0.45	0.469137969591305	0.771993016985817	12	3	1
CETUXIMAB SAROTALOCAN	EGFR	0.523253644551301	0.605422740918836	0.4	0.469137969591305	0.771993016985817	22	3	1
AZACITIDINE	DNMT1	0.493648868127402	0.359269657788277	0.69521768363609	0.0655986585742733	0.718200879049837	23	93	82
DECITABINE	DNMT1	0.481842290620567	0.359269657788277	0.665701239869001	0.0655986585742733	0.718200879049837	24	93	82
ABIVERTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
CANERTINIB DIHYDROCHLORIDE	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
DEPATUXIZUMAB MAFODOTIN	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
FIRMONERTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
FUTUXIMAB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
NAQUOTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
PYROTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
RINDOPEPIMUT	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
RUSERONTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
SIMOTINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
TESEVATINIB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
ZALUTUMUMAB	EGFR	0.463253644551301	0.605422740918836	0.25	0.469137969591305	0.771993016985817	25	3	1
CARFILZOMIB	PSMA2	0.457581132374053	0.388752028372716	0.560824788376058	0.134716847100572	0.69923947214978	37	77	90
PENTOXIFYLLINE	PDE6D	0.454081310614431	0.316375887974484	0.66063944457435	1.3471508469357e-5	0.70304106365517	38	144	85
AEE-788	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
ALLITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AV-412	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AZD-3759	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
AZD-4769	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
BMS-690514	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
CLN-081	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
CUDC-101	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
DEPATUXIZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
DULIGOTUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
EPITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
FALNIDAMOL	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
GC1118	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
IMGATUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
JNJ-26483327	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
KBP5209	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MAB-425	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MATUZUMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MAVELERTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MDX-447	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
MODOTUXIMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
NAZARTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PELITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PF-06459988	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
PIMURUTAMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
POZIOTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
S-222611	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
SAPITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TAK-285	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TARLOXOTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
THELIATINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TOMUZOTUXIMAB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
TUXOBERTINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
VARLITINIB	EGFR	0.443253644551301	0.605422740918836	0.2	0.469137969591305	0.771993016985817	39	3	1
VALPROIC ACID	ALDH5A1	0.43839874468568	0.244198111074875	0.729699695101888	0.0359245517921893	0.49875468353149	73	96	141
DIPYRIDAMOLE	PDE6D	0.429716440357794	0.316375887974484	0.599727268932759	1.3471508469357e-5	0.70304106365517	74	144	85
ACETAZOLAMIDE	CA2	0.422365955204116	0.248962192224378	0.682471599673723	0.0231916374088751	0.524903981443326	75	124	130
