drug_name_norm	primary_target	drug_class	composite_score	composite_alt	rank_orig	rank_alt
CETUXIMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
NIMOTUZUMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
PANITUMUMAB	EGFR	A	0.583253644551301	0.7299203112179682	9	1
AMIVANTAMAB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
AUMOLERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
BRIGATINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
ICOTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
LAZERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
MOBOCERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
NECITUMUMAB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
OLMUTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
OSIMERTINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
ROCILETINIB	EGFR	B	0.543253644551301	0.6632536445513015	12	8
CETUXIMAB SAROTALOCAN	EGFR	B	0.523253644551301	0.6299203112179682	22	19
ABIVERTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
CANERTINIB DIHYDROCHLORIDE	EGFR	D	0.463253644551301	0.5299203112179682	25	23
DEPATUXIZUMAB MAFODOTIN	EGFR	D	0.463253644551301	0.5299203112179682	25	23
FIRMONERTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
FUTUXIMAB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
NAQUOTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
PYROTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
RINDOPEPIMUT	EGFR	D	0.463253644551301	0.5299203112179682	25	23
RUSERONTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
SIMOTINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
TESEVATINIB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
ZALUTUMUMAB	EGFR	D	0.463253644551301	0.5299203112179682	25	23
CEDAZURIDINE	CDA	B	0.380001580978658	0.5000015809786579	84	35
BORTEZOMIB D-MANNITOL	PSMA2	B	0.393251217023629	0.4999178836902962	80	36
IXAZOMIB	PSMA2	B	0.393251217023629	0.4999178836902962	80	36
AEE-788	EGFR	D	0.443253644551301	0.4965869778846349	39	38
ALLITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AV-412	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AZD-3759	EGFR	D	0.443253644551301	0.4965869778846349	39	38
AZD-4769	EGFR	D	0.443253644551301	0.4965869778846349	39	38
BMS-690514	EGFR	D	0.443253644551301	0.4965869778846349	39	38
CLN-081	EGFR	D	0.443253644551301	0.4965869778846349	39	38
CUDC-101	EGFR	D	0.443253644551301	0.4965869778846349	39	38
DEPATUXIZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
DULIGOTUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
EPITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
FALNIDAMOL	EGFR	D	0.443253644551301	0.4965869778846349	39	38
GC1118	EGFR	D	0.443253644551301	0.4965869778846349	39	38
IMGATUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
JNJ-26483327	EGFR	D	0.443253644551301	0.4965869778846349	39	38
KBP5209	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MAB-425	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MATUZUMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MAVELERTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MDX-447	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MODOTUXIMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
NAZARTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PELITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PF-06459988	EGFR	D	0.443253644551301	0.4965869778846349	39	38
PIMURUTAMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
POZIOTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
S-222611	EGFR	D	0.443253644551301	0.4965869778846349	39	38
SAPITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TAK-285	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TARLOXOTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
THELIATINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TOMUZOTUXIMAB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
TUXOBERTINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
VARLITINIB	EGFR	D	0.443253644551301	0.4965869778846349	39	38
MITAPIVAT	PKLR	C	0.351947719750791	0.44528105308412447	90	76
ME-344	NDUFS2	D	0.381173785418279	0.4345071187516123	83	78
MYCOPHENOLATE MOFETIL	IMPDH2	B	0.324657580476615	0.4313242471432821	96	79
ANDECALIXIMAB	MMP9	D	0.358610798342676	0.4252774650093425	88	81
MARIMASTAT	MMP9	D	0.358610798342676	0.4252774650093425	88	81
