drug_name_norm	n_lod_topN	lod_stable
ABIVERTINIB	4	TRUE
AEE-788	1	FALSE
AFATINIB	4	TRUE
AMIVANTAMAB	4	TRUE
AUMOLERTINIB	4	TRUE
AZACITIDINE	3	FALSE
BRIGATINIB	4	TRUE
CANERTINIB DIHYDROCHLORIDE	4	TRUE
CARFILZOMIB	1	FALSE
CETUXIMAB	4	TRUE
CETUXIMAB SAROTALOCAN	4	TRUE
DACOMITINIB	4	TRUE
DECITABINE	3	FALSE
DEPATUXIZUMAB MAFODOTIN	4	TRUE
ERLOTINIB	4	TRUE
FIRMONERTINIB	4	TRUE
FUTUXIMAB	4	TRUE
GEFITINIB	4	TRUE
ICOTINIB	4	TRUE
LAPATINIB	4	TRUE
LAZERTINIB	4	TRUE
METFORMIN	4	TRUE
MOBOCERTINIB	4	TRUE
NAQUOTINIB	4	TRUE
NECITUMUMAB	4	TRUE
NERATINIB	4	TRUE
NIMOTUZUMAB	4	TRUE
OLMUTINIB	4	TRUE
OSIMERTINIB	4	TRUE
PANITUMUMAB	4	TRUE
PENTOXIFYLLINE	1	FALSE
PYROTINIB	4	TRUE
RINDOPEPIMUT	4	TRUE
ROCILETINIB	4	TRUE
RUSERONTINIB	4	TRUE
SIMOTINIB	3	FALSE
TESEVATINIB	3	FALSE
VANDETANIB	4	TRUE
ZALUTUMUMAB	1	FALSE
