drug_name_norm	baseline	target_heavy	drug_heavy	centrality_heavy	abundance_heavy	equal_weights	n_configs_topN
GEFITINIB	1	1	1	1	1	1	6
LAPATINIB	2	2	2	2	2	2	6
AFATINIB	3	3	3	3	3	3	6
ERLOTINIB	4	4	4	4	4	4	6
NERATINIB	5	5	5	6	5	5	6
VANDETANIB	6	6	7	7	6	6	6
DACOMITINIB	7	7	8	8	7	7	6
METFORMIN	8	21	6	5	26	8	6
CETUXIMAB	9	8	9	9	8	9	6
NIMOTUZUMAB	10	9	10	10	9	10	6
PANITUMUMAB	11	10	11	11	10	11	6
AMIVANTAMAB	12	11	16	12	12	13	6
AUMOLERTINIB	13	12	17	13	13	14	6
BRIGATINIB	14	13	18	14	14	15	6
ICOTINIB	15	14	19	15	15	16	6
LAZERTINIB	16	15	20	16	16	17	6
MOBOCERTINIB	17	16	21	17	17	18	6
NECITUMUMAB	18	17	22	18	18	19	6
OLMUTINIB	19	18	23	19	19	20	6
OSIMERTINIB	20	19	24	20	20	21	6
ROCILETINIB	21	20	25	21	21	22	6
CETUXIMAB SAROTALOCAN	22	22	30	22	23	25	6
ABIVERTINIB	25	23	NA	23	29	31	5
CANERTINIB DIHYDROCHLORIDE	26	24	NA	24	30	32	5
DEPATUXIZUMAB MAFODOTIN	27	25	NA	25	31	33	5
FIRMONERTINIB	28	26	NA	26	32	34	5
FUTUXIMAB	29	27	NA	27	33	35	5
AZACITIDINE	23	NA	12	NA	11	12	4
DECITABINE	24	NA	13	NA	22	23	4
NAQUOTINIB	30	28	NA	28	34	NA	4
PYROTINIB	31	29	NA	29	35	NA	4
RINDOPEPIMUT	32	30	NA	30	NA	NA	3
RUSERONTINIB	33	31	NA	31	NA	NA	3
SIMOTINIB	34	32	NA	32	NA	NA	3
TESEVATINIB	35	33	NA	33	NA	NA	3
PENTOXIFYLLINE	NA	NA	15	NA	24	26	3
CARFILZOMIB	NA	NA	28	NA	25	28	3
DIPYRIDAMOLE	NA	NA	29	NA	27	29	3
ZALUTUMUMAB	NA	34	NA	34	NA	NA	2
VALPROIC ACID	NA	NA	14	NA	NA	24	2
ACETAZOLAMIDE	NA	NA	26	NA	NA	27	2
TRANYLCYPROMINE	NA	NA	27	NA	NA	30	2
DOXYCYCLINE	NA	NA	33	NA	28	NA	2
AEE-788	NA	35	NA	NA	NA	NA	1
THIOGUANINE	NA	NA	31	NA	NA	NA	1
DIGOXIN	NA	NA	32	NA	NA	NA	1
TOPIRAMATE	NA	NA	34	NA	NA	NA	1
METHAZOLAMIDE	NA	NA	35	NA	NA	NA	1
ME-344	NA	NA	NA	35	NA	NA	1
