gene_symbol	uniprot_id	entry_name	logFC_TVsS	avg_intensity_TVsS	t_stat_TVsS	B_stat_TVsS	P.Value_TVsS	adj.P.Val_TVsS	sig.FDR_TVsS	M1S	M1T	M2S	M2T	M3S	M3T	M4S	M4T	M5S	M5T	M6S	M6T	M7S	M7T	M8S	M8T	M9S	M9T	M10S	M10T
A1BG	P04217	A1BG_HUMAN	-0.552139898000007	17.602818923	-2.31769923808106	-3.91832777632362	0.029185287274551	0.101167614213335	0	18.06860385	17.10983356	17.63029243	17.04009271	17.87869238	17.65599055	17.93971127	17.47691235	18.1286873	17.57755799	17.90730052	17.07463571	18.25127836	17.91495103	17.65393498	16.54056364	17.84601352	17.67041574	17.48437411	17.20653646
A2M	P01023	A2MG_HUMAN	-1.88592666799999	14.643600692	-2.90406245910756	-2.72172533938332	0.00772050974227961	0.0423148538420216	-1	17.62355136	15.16332373	15.44315024	16.46601624	16.205575	11.736339	15.28271683	16.08225509	18.02327138	14.51486293	15.66195228	12.44456375	15.19154266	12.88826681	15.84706433	11.31863443	14.07680409	14.10419308	12.51001209	12.28791852
A2ML1	A8K2U0	A2ML1_HUMAN	1.17903333813721	13.045365525	1.92746345524004	-4.61157085044899	0.0667383839706367	0.173123583054456	0	10.94392121	16.60833755	13.75337995	14.90744328	13.79347929	NA	12.66983317	14.73229119	10.57931496	12.44321124	11.65710523	14.96873022	12.68922294	11.29923055	14.24056826	11.67079381	NA	12.54052187	11.79507903	13.5241157
AAMDC	Q9H7C9	AAMDC_HUMAN	-1.10288973156825	11.6421359073684	-1.47757059041824	-5.25477340675236	0.15289692906973	0.303980134188455	0	9.583499535	NA	12.67638035	7.980580891	13.11111869	16.73810112	13.93107388	10.65207868	13.41090095	10.38916023	12.38609291	10.99600527	11.67314403	11.33951762	9.40526818	9.715671904	12.19146237	10.66190333	12.69932023	11.65930207
AAMP	Q13685	AAMP_HUMAN	0.553412943858069	9.7405910694	1.2434077464565	-5.51245484406066	0.228588220642075	0.401166343242007	0	8.677408723	10.10016489	10.50372243	10.76747454	NA	NA	NA	10.40921135	7.723007401	10.19997634	9.94704108	8.714994199	9.826086927	10.1968926	9.820359318	8.842905247	NA	9.896250146	NA	10.48337085
AARS1	P49588	SYAC_HUMAN	0.790117658999998	12.1560550465	1.87314649894055	-4.7106898293424	0.0731117763942729	0.18398699284805	0	13.05079217	14.55984354	10.90218713	12.67066358	11.83763554	12.24513557	11.36045534	12.52179653	12.09919655	14.38517904	11.52416715	12.12728711	12.00927419	11.15630332	12.02319487	12.23679558	11.68653935	12.61044615	11.11651988	10.99768834
AARSD1	Q9BTE6	AASD1_HUMAN	-0.459897480518997	9.0847878764	-0.822418543769232	-5.82483465323299	0.424313605813735	0.59560268286752	0	10.17288329	9.374668489	NA	9.435349072	NA	NA	10.02521084	10.01535945	10.33927186	8.493729871	7.193472045	NA	NA	6.965342206	8.832591641	NA	NA	NA	NA	NA
ABCA1	O95477	ABCA1_HUMAN	0.000790423000006868	13.2689527145	0.00150821984801903	-6.36385313838243	0.998808914067846	0.999106977008481	0	15.14539326	12.95292507	11.9091722	12.70244581	12.73705394	15.45897599	13.30497755	11.83831164	12.54377042	13.47844795	12.96224968	12.17357788	13.29899801	12.05980915	12.28169204	12.2069919	13.47801521	13.82161019	15.02425272	16.00038368
ABCC2	Q92887	MRP2_HUMAN	-0.0159556393999996	12.4925102497	-0.0335656358916156	-6.36328488015137	0.973497392779986	0.984831801294658	0	12.09152428	11.84571787	9.890662044	11.54206006	12.65321448	12.88273054	12.60742841	11.12945762	11.46665741	11.14228554	13.45216403	14.65563424	13.47283519	11.76485537	13.45437658	12.68854179	12.70669627	12.99313829	13.209322	14.20090298
ABCE1	P61221	ABCE1_HUMAN	0.3246859098664	11.2553409621875	0.606183597543404	-6.14575141626872	0.551102298448277	0.70239349977134	0	12.18771986	10.88528927	11.5001912	12.14144527	11.39389371	NA	10.6021484	11.9781979	11.4783961	11.09047156	NA	NA	7.364503305	10.8065808	11.92979187	10.40000726	12.28486131	12.01050915	NA	12.03144843
