gene_symbol	uniprot_id	entry_name	logFC_TVsS	avg_intensity_TVsS	t_stat_TVsS	B_stat_TVsS	P.Value_TVsS	adj.P.Val_TVsS	sig.FDR_TVsS	M1S	M1T	M2S	M2T	M3S	M3T	M4S	M4T	M5S	M5T	M6S	M6T	M7S	M7T	M8S	M8T	M9S	M9T	M10S	M10T
A2M	P01023	A2MG_HUMAN	-1.88592666799999	14.643600692	-2.90406245910756	-2.72172533938332	0.00772050974227961	0.0423148538420216	-1	17.62355136	15.16332373	15.44315024	16.46601624	16.205575	11.736339	15.28271683	16.08225509	18.02327138	14.51486293	15.66195228	12.44456375	15.19154266	12.88826681	15.84706433	11.31863443	14.07680409	14.10419308	12.51001209	12.28791852
ABCF2	Q9UG63	ABCF2_HUMAN	1.20835174284104	11.3139989521579	2.90183905782113	-2.73611472351259	0.0079655750744277	0.0429544469985525	1	8.563156051	11.73350948	11.14565821	11.42120387	10.25517802	NA	10.70426974	10.63363432	10.14747529	13.12941528	10.76344906	12.62014546	12.35448093	11.273158	10.3619734	12.51729085	11.66958235	12.85767842	11.61143752	11.20328384
ABHD14B	Q96IU4	ABHEB_HUMAN	-1.74554113932776	11.034884251	-3.27832377893038	-1.91122391518108	0.0032560395261162	0.0245442845803256	-1	13.70004387	10.93725713	12.10556996	11.92631243	12.58658176	9.632558484	12.20105445	11.49672863	13.58832711	10.35156653	11.40005289	9.322562715	10.60579522	9.351712178	12.61721953	8.199611572	11.0037019	NA	8.56593487	10.07020954
ABI3BP	Q7Z7G0	TARSH_HUMAN	-1.8957139897	12.22837911615	-4.3630896289869	0.671182640521208	0.000204424271603087	0.00519113756373901	-1	12.11901406	8.162797953	12.98876984	9.967424016	13.19609989	12.36350078	13.18660922	10.77992214	12.8364806	11.86454799	14.87125545	13.48734553	13.70643048	13.18885762	11.94801565	9.775621474	12.99635918	10.70701599	13.91332674	12.50818772
ACAA2	P42765	THIM_HUMAN	-2.31049122577654	13.3105959661579	-3.71582937999335	-0.883515949029966	0.00111585205850918	0.0138202235296213	-1	13.20528995	10.20202038	14.2944624	11.86647206	14.64000339	15.13368543	14.73019257	12.84246648	15.5182085	10.91320165	13.21056286	9.528995267	14.85466633	13.72278643	12.80962125	NA	16.0322296	11.35988876	14.46346876	13.57310129
ACADM	P11310	ACADM_HUMAN	-2.995552817	13.5710202645	-5.05009273253468	2.33618407282198	3.52689431634643e-05	0.00231806857811632	-1	14.9405804	12.53777656	15.59868619	12.66466695	16.21636744	14.67329814	15.8392728	13.41190976	15.70126579	11.52248798	14.84144056	11.04811388	15.56701564	11.59776748	13.89975033	10.11494129	16.37692967	10.26810629	11.70665791	12.89337023
ACADVL	P49748	ACADV_HUMAN	-2.715234753	13.8588900085	-5.137465662882	2.54733191200327	2.8230202890854e-05	0.00205712261065527	-1	15.45762149	12.75952555	15.94129446	13.44414324	16.17070634	11.52846223	15.68865832	14.51795277	16.96477677	12.71438589	14.77692872	11.75844809	15.29583767	12.41837906	14.06361612	10.22492594	15.42076501	12.17404118	12.38486895	13.47246237
ACAT2	O75908	SOAT2_HUMAN	1.309522429	13.8571291535	2.87641044244469	-2.78126779450644	0.00824026551230165	0.0437046993627138	1	11.58836131	13.45880713	13.87172729	13.85794171	12.29253676	14.13615409	13.15772374	12.91966703	12.0255469	14.77186415	13.30180474	15.09215377	13.57311986	15.90174394	13.2414331	16.04529268	13.52177941	14.52949846	15.44964628	14.40578072
ACOT13	Q9NPJ3	ACO13_HUMAN	-1.8862234831806	11.4672517843333	-4.17340190647253	0.130153509168403	0.000384848578497993	0.00730637796229225	-1	12.79492261	10.53781933	12.99004763	11.46315972	12.86631987	9.785729881	12.33816869	11.27487843	13.87450601	10.55102044	11.91914697	9.045127257	12.87521358	10.62128513	11.6797572	NA	11.86389269	NA	9.91047091	10.01906577
ACOX1	Q15067	ACOX1_HUMAN	1.6730585883	11.28402958585	3.94405758431466	-0.336887506631186	0.000594883348736025	0.00940589143850545	1	9.460738208	12.02048811	10.6267002	11.03466806	10.77189002	10.95816239	10.69504984	10.75244569	10.273191	12.31892488	9.952907633	12.7948937	10.54075861	13.8316658	10.29919844	13.75790971	9.776288166	12.29247052	12.0782808	11.44395994
ACSL1	P33121	ACSL1_HUMAN	-1.69920779858102	12.675506641875	-3.37258457584942	-1.7722024240413	0.00297542029627024	0.0233028243763969	-1	13.55054717	11.77413275	13.32556943	11.93547945	14.8334516	11.5059172	13.77326225	12.41371274	15.37718554	10.86990128	12.54746185	NA	12.04827155	NA	11.80086187	10.14189023	13.70993976	NA	NA	13.2005216
ACTL6A	O96019	ACL6A_HUMAN	2.12782161359473	11.4284451133684	4.45491381080114	0.830132036666895	0.000175948699375997	0.0048738173470407	1	10.36775095	12.32573838	10.38818852	12.12405804	9.356471891	10.37530012	11.12538216	11.29560911	9.608349523	12.09115445	10.77216597	12.03400241	NA	14.0867154	11.4593307	15.07002892	9.18806434	13.14518978	10.63880025	11.68815624
ACTN2	P35609	ACTN2_HUMAN	-3.160718151	14.0014469835	-3.72574061016766	-0.855141896893963	0.0010326941804235	0.0130857460827415	-1	15.48286471	11.48349419	16.64274878	12.20733508	18.00523656	13.92940135	17.06065854	15.53154599	18.54200079	11.30795794	16.00214259	13.48754546	15.45737882	11.32283038	10.86449329	11.32666171	16.57533968	13.07229954	11.18519683	10.54180744
ACYP1	P07311	ACYP1_HUMAN	1.733084399	12.0686086365	3.72981279710217	-0.845535299168951	0.00102216993544128	0.0130775329145006	1	9.17410326	12.82155041	12.50181924	11.98451033	10.88895397	13.67869732	11.85753591	10.57891841	10.15069995	13.14164393	11.83449898	13.55755835	12.31042464	14.09793428	10.51033156	13.30015085	10.12773402	13.45344661	12.66456284	12.73709787
ADAR	P55265	DSRAD_HUMAN	1.26402568978725	11.1037199865882	2.83999300540305	-2.88023249487071	0.0097121846551843	0.0488084602161586	1	10.85030549	12.11787813	9.981470522	11.39470513	NA	9.091421071	10.56111725	11.18615229	9.012404889	12.23983171	10.65091126	12.32428296	NA	11.03093302	11.15999126	13.42628783	NA	11.83607012	10.78278092	11.11669592
ADD1	P35611	ADDA_HUMAN	-1.104211965	11.8043800905	-3.20974768345739	-2.04713104382647	0.00370928598831683	0.0269123953091732	-1	12.55548826	10.31754495	11.87005695	11.03767552	12.14085471	11.55703884	12.1008831	11.5928469	12.32250736	10.91560616	13.00926564	11.56746034	12.53327102	11.62831543	12.52873419	10.2208724	10.89362666	11.37401998	13.61017284	12.31136056
