drug_name_norm	sources	n_sources	chembl_id	max_phase	is_approved	hnscc_indication	has_cancer_indication	cmap_score	n_de_genes	de_genes	n_up_genes	n_down_genes	max_interaction_score	drug_class	drug_class_label
CEDAZURIDINE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3237547	4	TRUE	TRUE	TRUE	NA	1	CDA	1	0	3.72884275420611	A	A: Approved + HNSCC evidence
CETUXIMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1201577	4	TRUE	TRUE	TRUE	NA	1	EGFR	1	0	0.617274645121957	A	A: Approved + HNSCC evidence
NIVOLUMAB	DGIdb	1	NA	NA	FALSE	TRUE	FALSE	NA	2	EGFR|GM2A	2	0	0.11810814153594	A	A: Approved + HNSCC evidence
PEMBROLIZUMAB	DGIdb	1	NA	NA	FALSE	TRUE	FALSE	NA	2	EGFR|GM2A	2	0	0.0930548993919528	A	A: Approved + HNSCC evidence
AZACITIDINE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL1489	4	TRUE	FALSE	TRUE	-0.487937861706096	5	ALDH1A1|CDA|DNMT1|HBB|TAGLN	2	3	1.30509496397214	B	B: Approved other cancer
DISULFIRAM	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL964	4	TRUE	FALSE	TRUE	-0.12790020341936	4	ALDH1A1|ALDH2|ALDH3A2|CBX1	1	3	0.13489353632787	B	B: Approved other cancer
DECITABINE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL1201129	4	TRUE	FALSE	TRUE	-0.414105891534926	2	DNMT1|NR5A1	2	0	0.271894784160862	B	B: Approved other cancer
GEFITINIB	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL939	4	TRUE	FALSE	TRUE	-0.709719279838835	1	EGFR	1	0	0.0852207532444493	B	B: Approved other cancer
THIOGUANINE	DGIdb|L2S2|OpenTargets	3	CHEMBL727	4	TRUE	FALSE	TRUE	-0.40583016330702	3	GGH|HBB|IMPDH2	1	2	0.790966644831599	B	B: Approved other cancer
BRIGATINIB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3545311	4	TRUE	FALSE	TRUE	NA	2	EGFR|EML4	2	0	4.00756433381343	B	B: Approved other cancer
CRIZOTINIB	DGIdb|L2S2|OpenTargets	3	CHEMBL601719	4	TRUE	FALSE	TRUE	-0.615486332670067	2	EGFR|EML4	2	0	3.10902622528474	B	B: Approved other cancer
DIGOXIN	DGIdb|L2S2|OpenTargets	3	CHEMBL1751	4	TRUE	FALSE	TRUE	-0.603004411974121	2	ATP1A1|ATP1B1	0	2	0.307081167993444	B	B: Approved other cancer
PHENELZINE	DGIdb|L2S2|OpenTargets	3	CHEMBL1089	4	TRUE	FALSE	TRUE	-0.182810471969576	2	GNA11|MAOA	0	2	0.372884275420611	B	B: Approved other cancer
AFATINIB DIMALEATE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL2105712	4	TRUE	FALSE	TRUE	NA	1	EGFR	1	0	0.0906315947202874	B	B: Approved other cancer
AMIVANTAMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4297774	4	TRUE	FALSE	TRUE	NA	1	EGFR	1	0	0.271894784160862	B	B: Approved other cancer
DACOMITINIB	ChEMBL|L2S2|OpenTargets	3	CHEMBL2105719	4	TRUE	FALSE	TRUE	-0.329205888786881	1	EGFR	1	0	NA	B	B: Approved other cancer
ECULIZUMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1201828	4	TRUE	FALSE	TRUE	NA	1	C5	0	1	1.48306245905925	B	B: Approved other cancer
ENFORTUMAB VEDOTIN	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3301589	4	TRUE	FALSE	TRUE	NA	1	NECTIN4	1	0	34.8025323725903	B	B: Approved other cancer
FORODESINE HYDROCHLORIDE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL550755	4	TRUE	FALSE	TRUE	NA	1	PNP	1	0	34.8025323725903	B	B: Approved other cancer
MOBOCERTINIB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4650319	4	TRUE	FALSE	TRUE	NA	1	EGFR	1	0	1.08757913664345	B	B: Approved other cancer
