drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	has_pi_evidence	s_pi_stat	s_clinical	s_cmap	s_pathway	s_network	s_evidence	composite_score	bonus	final_score	ct_total_trials	ct_hnscc_trials	ct_active_trials	ct_phases_hnscc	pubmed_total	pubmed_hnscc	evidence_score
PANITUMUMAB	CHEMBL1201827	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	True	True		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	300	18	6	EARLY_PHASE1:2; PHASE1:5; PHASE2:9; PHASE3:2	2143	147	1.0
NIMOTUZUMAB	CHEMBL2108359	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	True	True		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	156	12	3	N/A:1; PHASE1, PHASE2:1; PHASE2:8; PHASE3:1; PHASE4:1	467	121	1.0
CETUXIMAB	CHEMBL1201577	A	A: Approved + HNSCC evidence	3	ChEMBL|DGIdb|OpenTargets	4	True	True		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	1184	165	38	EARLY_PHASE1:3; N/A:7; NA:4; PHASE1:28; PHASE1, PHASE2:21; PHASE2:77; PHASE2, PHASE3:2; PHASE3:23	8815	2244	1.0
METFORMIN	CHEMBL1431	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	True	True	-0.436310919883868	20	1	19	EGFR|NDUFA10|NDUFA13|NDUFA2|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	EGFR	True	0.474945648139452	1.0	0.436310919883868	1.0	0.49630830495508	0	0.65805559698743	0.03	0.68805559698743	3037	9	2	EARLY_PHASE1:2; NA:1; PHASE1:1; PHASE1, PHASE2:1; PHASE2:2; PHASE3:1; PHASE4:1	34800	217	1.0
AFATINIB	CHEMBL2105712	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	True	-0.571276649587275	2	2	0	EGFR|EML4	EGFR	True	0.722605380504898	1.0	0.571276649587275	0.5	0.329385005192313	0	0.670577567939533	0.03	0.700577567939534	241	13	5	PHASE1:5; PHASE1, PHASE2:2; PHASE2:5; PHASE3:1	2476	188	1.0
ERLOTINIB	CHEMBL553	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	True	True	-0.657941753273653	1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.657941753273653	1.0	0.314801087287104	0	0.771811545214758	0.03	0.801811545214758	874	23	1	EARLY_PHASE1:2; PHASE1:8; PHASE1, PHASE2:2; PHASE2:8; PHASE2, PHASE3:1; PHASE3:2	8048	420	0.9
GEFITINIB	CHEMBL939	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	True	-0.709719279838835	1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.709719279838835	1.0	0.314801087287104	0	0.776989297871276	0.03	0.806989297871276	426	11	0	PHASE1:3; PHASE2:7; PHASE3:1	8296	372	0.8
LAPATINIB	CHEMBL1201179	A	A: Approved + HNSCC evidence	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	True	-0.590151450669703	2	2	0	EGFR|HLA-A	EGFR	True	0.720899331293408	1.0	0.590151450669703	0.5	0.314641922953897	0	0.669571166027418	0.03	0.699571166027418	322	6	0	PHASE1:1; PHASE1, PHASE2:1; PHASE2:4	3427	87	0.8
DECITABINE	CHEMBL1201129	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	False	-0.414105891534926	2	2	0	DNMT1|NR5A1	DNMT1	True	0.721112951017099	1.0	0.414105891534926	1.0	0.234100592903759	0	0.714970858495896	0.03	0.744970858495896	556	4	2	PHASE1:4	2942	31	0.786
OSIMERTINIB	CHEMBL3353410	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	367	1	1	PHASE1, PHASE2:1	4087	47	0.482
VANDETANIB	CHEMBL24828	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	True	False	-0.476574533589558	1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.476574533589558	1.0	0.314801087287104	0	0.753674823246348	0.03	0.783674823246348	114	3	0	PHASE1:2; PHASE2:1	969	20	0.42
DACOMITINIB	CHEMBL2105719	B	B: Approved other cancer	3	ChEMBL|L2S2|OpenTargets	4	True	False	-0.329205888786881	1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.329205888786881	1.0	0.314801087287104	0	0.738937958766081	0.03	0.768937958766081	65	1	1	PHASE2:1	421	28	0.368
CRIZOTINIB	CHEMBL601719	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	True	False	-0.615486332670067	2	2	0	EGFR|EML4	EGFR	True	0.722605380504898	1.0	0.615486332670067	0.5	0.329385005192313	0	0.674998536247813	0.03	0.704998536247813	169	0	0	none	3673	56	0.3
AZACITIDINE	CHEMBL1489	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	False	-0.487937861706096	5	2	3	ALDH1A1|CDA|DNMT1|HBB|TAGLN	ALDH1A1	True	0.628454803890886	1.0	0.487937861706096	0.8	0.323904624966557	0	0.668761401471947	0.03	0.698761401471947	1242	2	0	PHASE1:2	2843	11	0.266
AMIVANTAMAB	CHEMBL4297774	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	51	1	0	PHASE1:1	328	6	0.136
CEDAZURIDINE	CHEMBL3237547	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	CDA	CDA	True	0.740746350489473	1.0	0.0	1.0	0.107241379310345	0	0.662384747092341	0.0	0.662384747092341	78	1	0	PHASE1:1	77	0	0.1
