ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0015980	energy derivation by oxidation of organic compounds	142	-0.823244326362726	-2.20464098862032	4.8139162423153e-20	1.46824445390617e-16	1.21969435739504e-16	410	tags=56%, list=13%, signal=51%	4725/126328/4706/27069/7386/6389/3421/55753/1340/4704/4705/50/2110/1737/3420/4723/7388/4967/4726/205/515/7360/2109/7381/9551/4190/4716/3419/10632/8801/1345/2108/4729/8802/9377/23530/4697/51079/4713/5162/4702/54539/4695/1329/8803/539/498/178/4719/4715/2992/374291/1431/6390/5213/4707/2631/521/37/7385/4698/1327/34/6391/8604/4710/29796/506/10476/5160/7384/57017/513/509/4720/5837/2819/4722/1537
GO:0045333	cellular respiration	113	-0.854655241032678	-2.22879441518903	9.73967618838621e-20	1.4853006187289e-16	1.23386318870766e-16	410	tags=64%, list=13%, signal=58%	4725/126328/4706/27069/7386/6389/3421/55753/1340/4704/4705/50/2110/1737/3420/4723/7388/4967/4726/205/515/2109/7381/9551/4190/4716/3419/10632/8801/1345/2108/4729/8802/9377/23530/4697/51079/4713/5162/4702/54539/4695/1329/8803/539/498/4719/4715/374291/1431/6390/4707/2631/521/7385/4698/1327/6391/8604/4710/29796/506/10476/5160/7384/57017/513/509/4720/2819/4722/1537
GO:0006396	RNA processing	252	0.6714773417887	2.25898976905803	8.5314666612067e-19	8.67365777222681e-16	7.20534745737703e-16	702	tags=41%, list=22%, signal=35%	6434/6632/51690/27316/6636/26986/6633/11157/6626/6426/11100/4904/25804/10262/6635/11052/22827/6427/6625/55082/11051/3178/1736/79869/3312/6634/11137/10915/10450/10137/57819/5356/8106/138716/6431/10992/51645/84687/10465/9136/4841/10291/10189/6430/494115/55644/3185/22913/23020/9984/8570/23350/27257/6421/10436/53938/8882/103/6202/7040/23318/9879/55759/51691/1477/5935/58155/51574/5303/10250/23398/27079/6429/84991/5725/9295/26528/9444/55660/27339/6294/11338/79577/51593/8761/6129/51631/6631/6130/9410/1653/56943/9584/23016/10657/6165/27043/6741/7257/16/23404/151987/3609/5036
GO:0016071	mRNA metabolic process	208	0.693863239828954	2.31909751334325	6.88400052733328e-18	3.49936693472775e-15	2.90698057355986e-15	458	tags=35%, list=14%, signal=32%	6434/6632/51690/27316/6636/26986/6633/11157/6626/6426/11100/4904/25804/10262/6635/351/11052/22827/6427/6625/55082/11051/3178/1736/79869/3312/328/6634/4076/10915/10450/57819/5356/8106/6431/10992/51645/10465/4841/10291/10189/6430/494115/3185/22913/23020/9984/7812/8570/27257/6421/53938/9652/8882/103/23318/9879/51691/2316/1477/5935/51726/5317/6093/58155/11187/51574/10250/23398/27079/6429/84991/5725
GO:0006091	generation of precursor metabolites and energy	204	-0.761099757193863	-2.10246639630701	4.82687754043325e-18	3.49936693472775e-15	2.90698057355986e-15	410	tags=43%, list=13%, signal=40%	4725/126328/4706/27069/7386/6389/3421/3158/55753/3098/5236/1340/4704/4705/50/2110/1737/3420/4723/11331/7388/4967/4726/205/515/7360/7345/2109/7381/9551/4190/4716/3419/5224/10632/8801/1345/2027/2108/4729/8802/9377/23530/4697/51079/4713/5162/4702/54539/4695/1329/8803/539/498/178/4719/4715/2992/374291/1431/6390/5213/4707/2631/521/37/7385/4698/1327/34/6391/8604/4710/29796/506/10476/5160/7384/57017/513/6521/509/4720/5837/2819/4722/1537/291
GO:0055085	transmembrane transport	249	-0.734511647106813	-2.04787951943335	6.26207432413048e-18	3.49936693472775e-15	2.90698057355986e-15	318	tags=32%, list=10%, signal=31%	30845/287/340061/4704/2147/4705/7095/3329/309/1756/4723/57153/11331/7388/4726/2180/1376/515/274/79073/488/3270/1528/760/10550/9551/4190/4716/2946/10632/4729/9377/23530/4697/489/4713/4702/5250/845/183/4695/781/1329/539/498/88/7416/857/7417/4719/4715/8402/51297/374291/481/4707/2631/521/7419/4698/6253/1327/8604/4710/29796/506/10476/7384/487/948/513/6521/509/4720/4722/2273/844/1537/291
GO:0009060	aerobic respiration	97	-0.861517916555323	-2.21569478182177	1.33392800120829e-17	5.65230046317752e-15	4.69545719236179e-15	410	tags=69%, list=13%, signal=62%	4725/126328/4706/27069/7386/6389/3421/55753/1340/4704/4705/50/1737/3420/4723/7388/4967/4726/205/515/7381/9551/4190/4716/3419/10632/8801/1345/4729/8802/9377/23530/4697/51079/4713/5162/4702/54539/4695/1329/8803/539/498/4719/4715/374291/1431/6390/4707/2631/521/7385/4698/1327/6391/4710/29796/506/10476/5160/7384/57017/513/509/4720/4722/1537
GO:0098660	inorganic ion transmembrane transport	165	-0.783085517372083	-2.11886317125855	1.48257061329247e-17	5.65230046317752e-15	4.69545719236179e-15	332	tags=40%, list=10%, signal=38%	1340/30845/287/340061/4704/2147/4705/1756/4723/11331/7388/4726/515/274/488/3270/1528/9551/4716/2946/10632/4729/9377/23530/4697/489/4713/4702/5250/845/183/4695/781/1329/539/498/88/7416/857/4719/4715/8402/51297/374291/481/4707/2631/521/4698/1327/8604/4710/29796/506/10476/7384/487/513/6521/509/4720/4722/2273/844/1537/291
GO:0034220	monoatomic ion transmembrane transport	182	-0.764952918269554	-2.08804814876534	3.28105134540111e-17	1.11191184483038e-14	9.23683109752101e-15	318	tags=38%, list=10%, signal=36%	1340/30845/287/340061/4704/2147/4705/309/1756/4723/11331/7388/4726/515/274/79073/488/3270/1528/9551/4716/2946/10632/4729/9377/23530/4697/489/4713/4702/5250/845/183/4695/781/1329/539/498/88/7416/857/7417/4719/4715/51297/374291/481/4707/2631/521/7419/4698/1327/8604/4710/29796/506/10476/7384/487/513/6521/509/4720/4722/2273/844/1537/291
GO:0006811	monoatomic ion transport	235	-0.731093357428826	-2.03599837215248	4.78321864527685e-17	1.45888168680944e-14	1.2119165557033e-14	339	tags=32%, list=10%, signal=31%	10424/1340/30845/287/340061/4704/2147/4705/309/7178/1756/4723/11331/7388/4726/515/274/79073/488/3270/1528/760/9551/4716/2946/10632/4729/5446/9377/23530/4697/489/4713/4702/5250/845/183/4695/781/1329/539/498/88/7416/857/23171/7417/4719/4715/51297/374291/6345/481/4707/2631/521/7419/4698/1327/8604/4710/29796/506/10476/7384/487/513/6521/509/4720/4722/2273/844/1537/291
