ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009060	aerobic respiration	59/642	97/3166	0.608247422680412	2.99955037415294	10.086243962645	7.8640080907865e-19	2.30808637464584e-15	2.23172271713267e-15	AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CS/CYC1/DLAT/IDH3A/IDH3B/IDH3G/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PDHA1/PDHB/SDHA/SDHB/SDHC/SUCLA2/SUCLG1/SUCLG2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	59
GO:0045333	cellular respiration	64/642	113/3166	0.566371681415929	2.7930416563284	9.78759284547541	4.31519329412917e-18	6.33254615913456e-15	6.12303216893276e-15	AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CS/CYC1/DLAT/ETFA/ETFB/ETFDH/GPD1/IDH3A/IDH3B/IDH3G/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PDHA1/PDHB/SDHA/SDHB/SDHC/SLC25A12/SUCLA2/SUCLG1/SUCLG2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	64
GO:0015980	energy derivation by oxidation of organic compounds	73/642	142/3166	0.514084507042254	2.53518932912114	9.43897678001217	2.57917351499619e-17	2.52329142217127e-14	2.43980764787008e-14	ACADM/ACADVL/AGL/AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CS/CYC1/DLAT/ETFA/ETFB/ETFDH/GPD1/GYG1/IDH3A/IDH3B/IDH3G/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PDHA1/PDHB/PFKM/PHKA1/PPP1CA/PYGM/SDHA/SDHB/SDHC/SLC25A12/SUCLA2/SUCLG1/SUCLG2/UGP2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	73
GO:0015986	proton motive force-driven ATP synthesis	33/642	41/3166	0.804878048780488	3.96922726236608	9.6498386741897	1.24351068658106e-16	7.43754473499913e-14	7.19147157018117e-14	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC	33
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	32/642	39/3166	0.82051282051282	4.04632957903986	9.65283641196354	1.26704339608162e-16	7.43754473499913e-14	7.19147157018117e-14	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC	32
GO:0006119	oxidative phosphorylation	46/642	71/3166	0.647887323943662	3.19503312711158	9.43299539753269	1.96655358767882e-16	9.61972463306221e-14	9.30145346031945e-14	AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	46
GO:1902600	proton transmembrane transport	43/642	65/3166	0.661538461538462	3.26235322310089	9.29342725406476	6.28947194510567e-16	2.63708573698359e-13	2.54983704721878e-13	ATP1A1/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/PHB2/SLC25A12/SLC25A3/SLC25A4/UQCR10/UQCRC1/UQCRH	43
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	37/642	52/3166	0.711538461538462	3.50892643182363	9.19898669038404	1.92059902092376e-15	7.04619765801406e-13	6.81307231632956e-13	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/ENO1/IMPDH2/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NME1/NME2/SDHA/SDHB/SDHC	37
GO:0009145	purine nucleoside triphosphate biosynthetic process	37/642	53/3166	0.69811320754717	3.44272027273262	9.0434013849782	5.16184245208302e-15	1.6833341774293e-12	1.62764061413051e-12	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/ENO1/IMPDH2/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NME1/NME2/SDHA/SDHB/SDHC	37
GO:0046034	ATP metabolic process	54/642	97/3166	0.556701030927835	2.74535118990269	8.80399820350052	5.84523667285858e-15	1.71557696348399e-12	1.65881663895018e-12	AK1/AK4/ALDOC/APP/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/ENO1/ENO3/FBP1/GPD1/HSPA8/MYH4/MYH7/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NMNAT1/NUDT5/OGDH/OLA1/PFKM/PGAM1/PKLR/SDHA/SDHB/SDHC/SLC4A1/UCHL1	54
