ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009060	aerobic respiration	59/642	97/3166	0.608247422680412	2.99955037415294	10.086243962645	7.8640080907865e-19	2.30808637464584e-15	2.23172271713267e-15	AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CS/CYC1/DLAT/IDH3A/IDH3B/IDH3G/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PDHA1/PDHB/SDHA/SDHB/SDHC/SUCLA2/SUCLG1/SUCLG2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	59
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	32/642	39/3166	0.82051282051282	4.04632957903986	9.65283641196354	1.26704339608162e-16	7.43754473499913e-14	7.19147157018117e-14	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC	32
GO:0006119	oxidative phosphorylation	46/642	71/3166	0.647887323943662	3.19503312711158	9.43299539753269	1.96655358767882e-16	9.61972463306221e-14	9.30145346031945e-14	AK4/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COQ9/COX4I1/COX5A/COX5B/COX6C/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	46
GO:1902600	proton transmembrane transport	43/642	65/3166	0.661538461538462	3.26235322310089	9.29342725406476	6.28947194510567e-16	2.63708573698359e-13	2.54983704721878e-13	ATP1A1/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/PHB2/SLC25A12/SLC25A3/SLC25A4/UQCR10/UQCRC1/UQCRH	43
GO:0046034	ATP metabolic process	54/642	97/3166	0.556701030927835	2.74535118990269	8.80399820350052	5.84523667285858e-15	1.71557696348399e-12	1.65881663895018e-12	AK1/AK4/ALDOC/APP/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/ENO1/ENO3/FBP1/GPD1/HSPA8/MYH4/MYH7/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NMNAT1/NUDT5/OGDH/OLA1/PFKM/PGAM1/PKLR/SDHA/SDHB/SDHC/SLC4A1/UCHL1	54
GO:0019693	ribose phosphate metabolic process	66/642	153/3166	0.431372549019608	2.12729827133346	7.20766654933121	3.69445014281629e-11	3.7390383341951e-09	3.61533124683583e-09	ABHD14B/ADSS1/AK1/AK4/ALDOC/APP/ATIC/ATP1B1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CDA/CMPK1/DLG1/ENO1/ENO3/FBP1/GPD1/HINT1/HSPA8/IMPDH2/MPP1/MYH4/MYH7/NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NME1/NME2/NMNAT1/NUDT5/OGDH/OLA1/PFKM/PGAM1/PKLR/PNP/SDHA/SDHB/SDHC/SLC4A1/UCHL1	66
GO:0006812	monoatomic cation transport	78/642	211/3166	0.369668246445498	1.82300571377951	6.23986266556937	4.45423241260185e-09	3.35209541820165e-07	3.24119044112674e-07	ACTN2/AGT/ANK2/ANXA6/ATOX1/ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/BIN1/BPIFA1/CACNA2D1/CASQ1/CASQ2/CAV1/COX4I1/COX5A/COX5B/CTSS/CYB5A/CYC1/DLG1/EHD3/ERO1A/F2/FHL1/FKBP4/GPD1L/GSTM2/HRC/MMP9/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/PGRMC2/PHB2/PON3/SLC25A12/SLC25A3/SLC25A4/SRL/SUMO1/TFRC/TMEM109/TPT1/UBQLN1/UQCR10/UQCRC1/UQCRH/VDAC1	78
GO:0006936	muscle contraction	43/642	96/3166	0.447916666666667	2.20888499480789	6.06542325006089	3.05684889203518e-08	2.0864770925868e-06	2.01744543768099e-06	ANK2/ANXA6/ATP1A1/ATP1B1/ATP2A1/ATP2A2/BIN1/CACNA2D1/CASQ1/CASQ2/CAV1/CKMT2/CNN1/CRYAB/DLG1/EHD3/ENO1/GPD1L/GSTM2/HRC/KLHL41/MYH2/MYH4/MYH7/MYL1/MYL2/MYL3/MYL11/MYOM2/PABPN1/SUMO1/SYNM/TCAP/TMOD1/TNNI3/TNNC2/TNNI1/TNNI2/TNNT1/TPM1/TPM2/TPM4/TTN	43
GO:0060048	cardiac muscle contraction	24/642	44/3166	0.545454545454545	2.68988954970263	5.692170563854	4.4441839907538e-07	2.717433336013e-05	2.62752632435795e-05	ANK2/ATP1A1/ATP1B1/ATP2A1/ATP2A2/BIN1/CACNA2D1/CASQ2/CAV1/DLG1/EHD3/GPD1L/GSTM2/HRC/MYH7/MYL2/MYL3/SUMO1/TCAP/TNNI3/TNNI1/TNNI2/TPM1/TTN	24
GO:0006937	regulation of muscle contraction	25/642	48/3166	0.520833333333333	2.56847092419522	5.5216481802127	8.19009633600232e-07	4.71332014630722e-05	4.5573786835629e-05	ANK2/ANXA6/ATP1A1/ATP1B1/ATP2A1/ATP2A2/BIN1/CASQ1/CASQ2/CAV1/CNN1/DLG1/EHD3/ENO1/GSTM2/HRC/MYH7/MYL2/MYL3/SUMO1/TNNI3/TNNC2/TNNI1/TNNT1/TPM1	25
