ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0098803	respiratory chain complex	44/662	54/3240	0.814814814814815	3.98791540785498	11.2185132241478	4.11549327110599e-22	1.78200858638889e-19	1.53356275575949e-19	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	44
GO:1902495	transmembrane transporter complex	48/662	80/3240	0.6	2.93655589123867	8.88637221461956	5.22054237007161e-15	8.77252572847913e-13	7.54946908443324e-13	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/CASQ2/COX4I1/COX5A/COX5B/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SUMO1/TMEM109/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	48
GO:1990204	oxidoreductase complex	46/662	75/3240	0.613333333333333	3.00181268882175	8.88710322324678	6.07796239848439e-15	8.77252572847913e-13	7.54946908443324e-13	BCKDHB/CBR4/COX4I1/COX5A/COX5B/CYB5B/CYC1/DLAT/HADHB/HSD17B8/IDH3A/IDH3B/IDH3G/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/OGDH/P4HA1/PDHA1/PDHB/PDHX/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	46
GO:1990351	transporter complex	48/662	88/3240	0.545454545454545	2.66959626476243	8.04549387102927	8.10901233362433e-13	8.77800585114834e-11	7.5541851739553e-11	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/CASQ2/COX4I1/COX5A/COX5B/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SUMO1/TMEM109/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	48
GO:0005743	mitochondrial inner membrane	65/662	146/3240	0.445205479452055	2.17895128916111	7.38592931616052	1.40316037706208e-11	1.21513688653576e-09	1.04572373364206e-09	ACADVL/APOO/APP/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/BDH1/CKMT2/CLU/COQ9/COX4I1/COX5A/COX5B/COX6C/CPT2/CRAT/CYC1/ETFDH/GATM/HADHB/HSPD1/MRPL17/MRPL38/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/PHB2/SDHA/SDHB/SDHC/SLC25A11/SLC25A12/SLC25A3/SLC25A4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	65
GO:0019866	organelle inner membrane	68/662	163/3240	0.417177914110429	2.04177710229274	6.91509059077211	1.68326210641097e-10	1.21475415345992e-08	1.04539436082366e-08	ACADVL/APOO/APP/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/BDH1/CBX3/CKMT2/CLU/COQ9/COX4I1/COX5A/COX5B/COX6C/CPT2/CRAT/CYC1/ETFDH/GATM/HADHB/HSPD1/LMNB1/MRPL17/MRPL38/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/PHB2/SDHA/SDHB/SDHC/SLC25A11/SLC25A12/SLC25A3/SLC25A4/TRA2B/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	68
GO:0031966	mitochondrial membrane	83/662	217/3240	0.382488479262673	1.87199799518287	6.73781825179239	2.84445485009056e-10	1.75949850012745e-08	1.51419100290535e-08	ACADM/ACADVL/ACSL1/APOO/APP/ASS1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/BDH1/CKMT2/CLU/COQ9/COX4I1/COX5A/COX5B/COX6C/CPT2/CRAT/CYB5A/CYB5B/CYC1/ETFDH/FAM162A/FUNDC2/GATM/HADHB/HSPD1/HTRA2/MAOA/MGST1/MGST3/MRPL17/MRPL38/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PHB2/SDHA/SDHB/SDHC/SLC25A11/SLC25A12/SLC25A3/SLC25A4/SLC44A2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3/VPS13C	83
GO:0030964	NADH dehydrogenase complex	19/662	24/3240	0.791666666666667	3.87462235649547	7.16178718871528	9.50135480875507e-10	4.57120736910105e-08	3.93389427169508e-08	NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2	19
GO:0045271	respiratory chain complex I	19/662	24/3240	0.791666666666667	3.87462235649547	7.16178718871528	9.50135480875507e-10	4.57120736910105e-08	3.93389427169508e-08	NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2	19
GO:0005740	mitochondrial envelope	89/662	245/3240	0.363265306122449	1.77791479129416	6.41666949113354	1.39635198878697e-09	6.04620411144758e-08	5.20324846347987e-08	ACADM/ACADVL/ACSL1/APOO/APP/ASS1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/BDH1/CKMT2/CLU/COQ9/COX4I1/COX5A/COX5B/COX6C/CPOX/CPT2/CRAT/CYB5A/CYB5B/CYC1/ETFDH/FAM162A/FKBP10/FUNDC2/GATM/HADHB/HSD17B8/HSPD1/HTRA2/MAOA/MGST1/MGST3/MRPL17/MRPL38/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NIPSNAP2/NNT/OGDH/PHB2/REXO2/RNASET2/SDHA/SDHB/SDHC/SIRT5/SLC25A11/SLC25A12/SLC25A3/SLC25A4/SLC44A2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3/VPS13C	89
