ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0015078	proton transmembrane transporter activity	40/655	60/3224	0.666666666666667	3.28142493638677	9.00600787854572	4.98022815132664e-15	2.38552928448546e-12	2.17557335031637e-12	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/SLC25A12/SLC25A3/SLC25A4/UQCR10/UQCRC1/UQCRH	40
GO:0008324	monoatomic cation transmembrane transporter activity	48/655	82/3224	0.585365853658537	2.88125116365667	8.71203011598975	1.5973434243668e-14	3.82563750135849e-12	3.48893432164328e-12	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/TSPOAP1/SLC25A12/SLC25A3/SLC25A4/TMEM109/UQCR10/UQCRC1/UQCRH	48
GO:0022890	inorganic cation transmembrane transporter activity	47/655	81/3224	0.580246913580247	2.85605503722552	8.54141689421236	4.85473955015092e-14	7.7514008150743e-12	7.06918215197414e-12	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/TSPOAP1/SLC25A12/SLC25A3/SLC25A4/UQCR10/UQCRC1/UQCRH	47
GO:0015453	oxidoreduction-driven active transmembrane transporter activity	27/655	34/3224	0.794117647058823	3.90875617422541	8.60835534075752	1.64312980534773e-13	1.96764794190391e-11	1.79447070847187e-11	COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/UQCR10/UQCRC1/UQCRH	27
GO:0015075	monoatomic ion transmembrane transporter activity	53/655	101/3224	0.524752475247525	2.58290378656186	8.16014664343428	3.08927203191839e-13	2.95952260657782e-11	2.69904819630764e-11	ANXA6/ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/TSPOAP1/SLC25A12/SLC25A3/SLC25A4/SLC4A1/TMEM109/UQCR10/UQCRC1/UQCRH/VDAC1/VDAC2/VDAC3	53
GO:0015318	inorganic molecular entity transmembrane transporter activity	50/655	94/3224	0.531914893617021	2.61815819392561	8.0386197427984	7.59963391476916e-13	6.06704107529071e-11	5.53306679759509e-11	GET3/ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/TSPOAP1/SLC25A11/SLC25A12/SLC25A3/SLC25A4/SLC4A1/UQCR10/UQCRC1/UQCRH	50
GO:0022853	active monoatomic ion transmembrane transporter activity	36/655	58/3224	0.620689655172414	3.05511976836009	7.97378330115617	3.0811523124995e-12	2.1083885109818e-10	1.92282437546961e-10	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1B/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/SLC25A12/SLC25A3/SLC4A1/UQCR10/UQCRC1/UQCRH	36
GO:0015399	primary active transmembrane transporter activity	33/655	51/3224	0.647058823529412	3.18491243825775	7.94059122807937	4.77657020169455e-12	2.85997140826461e-10	2.6082587285569e-10	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1B/COX4I1/COX5A/COX5B/CYB5A/CYC1/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/UQCR10/UQCRC1/UQCRH	33
GO:0009055	electron transfer activity	36/655	60/3224	0.6	2.95328244274809	7.71065345514927	1.29843323976562e-11	6.91055024275259e-10	6.30233677780975e-10	ALDH2/ALDH4A1/COX4I1/COX5A/COX5B/CYB5A/CYC1/ETFA/ETFB/ETFDH/IDH3B/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/QDPR/SDHA/SDHB/SDHC/UQCR10/UQCRC1/UQCRH	36
GO:0005215	transporter activity	68/655	159/3224	0.427672955974843	2.10506505353113	7.21505952457444	3.28923677403887e-11	1.57554441476462e-09	1.43687711708014e-09	ANXA6/APOA1/APOA2/APOA4/APOD/GET3/ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/CD36/COX4I1/COX5A/COX5B/CYB5A/CYC1/FABP5/GM2A/NDUFA10/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/NPC2/PGRMC2/PITPNB/PLSCR4/TSPOAP1/SLC25A11/SLC25A12/SLC25A3/SLC25A4/SLC44A2/SLC4A1/STARD5/TMEM109/UQCR10/UQCRC1/UQCRH/VDAC1/VDAC2/VDAC3	68
