ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05208	Chemical carcinogenesis - reactive oxygen species	91	-0.835415939154959	-2.1226477287192	4.81783623267326e-14	1.38271899877722e-11	1.03963834494528e-11	410	tags=60%, list=13%, signal=54%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/AKR1C2/NDUFV1/UQCRH/NDUFS6/ATP5PB/EPHX1/GSTM3/UQCRB/NDUFB10/MGST3/GSTM2/COX6C/NDUFV2/COX5A/MGST1/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa03040	Spliceosome	74	0.817348069070863	2.38344571668082	1.62871323570822e-13	2.3372034932413e-11	1.75729585957992e-11	276	tags=45%, list=8%, signal=42%	TRA2B/SNRPD1/LSM7/RBMX/SNRPF/SNRPD2/LSM6/SNRPA/SRSF1/LSM4/SF3B4/SNRPE/PUF60/SRSF2/SNRNP70/HNRNPA1/HSPA8/SNRPD3/TCERG1/PPIE/LSM2/PLRG1/SRSF6/SF3B2/PPIL1/PPIH/SF3A1/ALYREF/SRSF5/RBMXL1/SNRNP200/THOC1/U2SURP
hsa00190	Oxidative phosphorylation	64	-0.862649683163064	-2.10388833986287	9.97891399075276e-13	9.54649438448681e-11	7.17781532668181e-11	410	tags=75%, list=13%, signal=67%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/UQCRB/ATP5MF/NDUFB10/ATP5MG/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/ATP5ME/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1
hsa05415	Diabetic cardiomyopathy	96	-0.801922822412612	-2.06257847403326	3.1518263445758e-12	2.26143540223314e-10	1.7003273701001e-10	410	tags=61%, list=13%, signal=55%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/CMA1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/CPT2/ATP5PB/ATP2A2/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/ATP2A3/NDUFA13/NDUFB7/PDHB/NDUFA8/NDUFB11/AGT/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/TNNI3/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/PDHA1/UQCRC1/ATP2A1/CD36/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa05016	Huntington disease	130	-0.756581775031432	-2.01302340525253	1.07414107792045e-11	6.16556978726337e-10	4.63576675734088e-10	413	tags=39%, list=13%, signal=36%	PSMC2/NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/SIN3A/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa05020	Prion disease	131	-0.749286198547704	-1.99179079186815	1.39871540072215e-11	6.69052200012094e-10	5.03046766926386e-10	413	tags=40%, list=13%, signal=37%	PSMC2/NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/C9/SDHA/C5/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/CAV1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa04714	Thermogenesis	77	-0.818936058092692	-2.05302033968697	3.44627763965997e-11	1.41297383226059e-09	1.06238634004556e-09	410	tags=65%, list=13%, signal=58%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ACSL1/CPT2/ATP5PB/UQCRB/ATP5MF/NDUFB10/ATP5MG/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/ATP5ME/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1
hsa05012	Parkinson disease	128	-0.746495084078529	-1.97855844187951	5.57581098089946e-11	2.00032218939768e-09	1.50400164616367e-09	413	tags=41%, list=13%, signal=38%	PSMC2/NDUFS5/NDUFA11/HTRA2/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/MAOA/UCHL1/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa05022	Pathways of neurodegeneration - multiple diseases	174	-0.692552298978774	-1.86132869240939	7.46172117574933e-10	2.3794599749334e-08	1.78906765032586e-08	413	tags=32%, list=13%, signal=29%	PSMC2/NDUFS5/NDUFA11/HTRA2/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/ATP2A2/UCHL1/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/ATP2A3/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP2A1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa05010	Alzheimer disease	145	-0.704858113163074	-1.87809474612401	2.28879351958929e-09	6.56883740122126e-08	4.93897548964004e-08	413	tags=37%, list=13%, signal=34%	PSMC2/NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/RTN4/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/ATP2A2/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/ATP2A3/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/VDAC2/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/VDAC3/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP2A1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
hsa04932	Non-alcoholic fatty liver disease	56	-0.816808895897599	-1.96449533696681	1.03871734034813e-07	2.71010796981739e-06	2.03767516527623e-06	410	tags=68%, list=13%, signal=60%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/UQCRC1/NDUFS2/NDUFS3/CYC1
hsa05014	Amyotrophic lateral sclerosis	156	-0.667702574711826	-1.78262424521074	1.25469243199003e-07	3.00080606650949e-06	2.25624516278909e-06	413	tags=30%, list=13%, signal=28%	PSMC2/NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/NDUFA9/NDUFA10/NDUFV1/UQCRH/NDUFS6/ATP5PB/UQCRB/NDUFB10/COX6C/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/ATP5PO/ATP5F1A/VDAC1/NDUFS1/NDUFB9/NDUFS7/SDHB/NDUFB1/UQCRC2/NDUFA5/COX4I1/SDHC/NDUFB4/UQCR10/ATP5F1B/ATP5PD/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1
hsa04723	Retrograde endocannabinoid signaling	39	-0.818663214337573	-1.83800630046133	1.74470322825065e-06	3.8517678962149e-05	2.89606608737963e-05	507	tags=69%, list=16%, signal=59%	GNB1/MGLL/PRKCA/GNB2/NDUFS5/NDUFA11/NDUFAB1/NDUFA9/NDUFA10/NDUFV1/NDUFS6/NDUFB10/NDUFV2/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/NDUFS1/NDUFB9/NDUFS7/NDUFB1/NDUFA5/NDUFB4/NDUFS2/NDUFS3
hsa04260	Cardiac muscle contraction	34	-0.840285991710763	-1.84789357339909	5.50553805687231e-06	0.000112863530165882	8.48597971172048e-05	261	tags=76%, list=8%, signal=71%	UQCRFS1/ATP1A1/COX6B1/UQCRH/TPM1/ATP2A2/HRC/TPM2/UQCRB/COX6C/COX5A/ATP2A3/CASQ2/CACNA2D1/COX5B/TNNI3/ATP1B1/UQCRC2/COX4I1/UQCR10/UQCRC1/ATP2A1/MYH7/MYL3/CYC1/MYL2
hsa04820	Cytoskeleton in muscle cells	137	-0.642895501935637	-1.7107014268479	8.86530233955274e-06	0.000169622784763442	0.000127535928393566	492	tags=39%, list=15%, signal=35%	CAPZA2/MYOT/ITGA4/SNTB2/COL6A3/PDLIM5/TPM3/ANK3/TNNT3/ACTA1/SGCD/MYL9/ATP1A1/NEB/ANK2/MYH1/CSRP3/DMD/PDLIM3/FLNC/DES/TPM1/TPM2/BGN/CKM/ENO3/ACTG2/FHL3/TMOD1/TNNT1/TNNI2/TTN/MYOM3/MYH4/MYBPC1/TNNC2/MYBPC2/ACTN2/TNNI3/MYOM2/TNNI1/TCAP/ATP1B1/DCN/MYOM1/ITGA7/LDB3/MYL1/MYH7/FHL1/MYH2/MYL3/MYL2/MYL11
hsa04814	Motor proteins	59	-0.743117674218195	-1.79251544390467	1.80015752628635e-05	0.000322903256277613	0.000242784403216251	437	tags=37%, list=13%, signal=33%	MYO1C/TPM3/TNNT3/ACTA1/MYL9/MYH1/TPM1/MYL6B/TPM2/ACTG2/TNNT1/TNNI2/MYH4/TNNC2/TNNI3/TNNI1/MYL1/MYH7/MYH2/MYL3/MYL2/MYL11
hsa05222	Small cell lung cancer	26	0.820602882044159	1.94187558606525	1.98146817765298e-05	0.000334518451168473	0.000251517632457499	351	tags=35%, list=11%, signal=31%	LAMA3/LAMB3/COL4A2/COL4A1/LAMB1/LAMC2/LAMA4/CASP3/IKBKG
hsa05146	Amoebiasis	46	0.70670874854903	1.88447136191684	5.72726600791521e-05	0.000913180746817591	0.000686602065276384	366	tags=30%, list=11%, signal=27%	LAMA3/LAMB3/COL4A2/COL4A1/COL3A1/LAMB1/SERPINB4/LAMC2/SERPINB9/ARG1/LAMA4/CASP3/TGFB1/SERPINB13
hsa00020	Citrate cycle (TCA cycle)	27	-0.838860199860174	-1.79503790855479	7.55979580937936e-05	0.00113798223773276	0.000855625742656208	490	tags=74%, list=15%, signal=63%	ACO1/IDH2/PC/SDHA/IDH3G/OGDHL/ACO2/DLAT/IDH3B/OGDH/MDH1/IDH3A/SUCLG2/SUCLG1/PDHB/SUCLA2/CS/SDHB/SDHC/PDHA1
hsa04022	cGMP-PKG signaling pathway	44	-0.763303468839795	-1.74795088460923	7.93018980998437e-05	0.00113798223773276	0.000855625742656208	399	tags=30%, list=12%, signal=26%	MYL9/KNG1/ATP1A1/ATP2A2/GNA11/ATP2A3/VDAC1/VDAC2/ATP1B1/VDAC3/ATP2A1/MYH7/SLC25A4
hsa05145	Toxoplasmosis	37	0.731811345058136	1.87812991517557	0.00014045549803121	0.0019195584730932	0.0014432770474385	351	tags=24%, list=11%, signal=22%	LAMA3/LAMB3/LAMB1/LAMC2/HSPA8/LAMA4/CASP3/TGFB1/IKBKG
hsa05410	Hypertrophic cardiomyopathy	39	-0.74676722545826	-1.67659037481113	0.000221458161017925	0.0028890223732793	0.00217219727314233	272	tags=38%, list=8%, signal=36%	DMD/DES/TPM1/ATP2A2/TPM2/ATP2A3/TTN/AGT/CACNA2D1/TNNI3/ITGA7/ATP2A1/MYH7/MYL3/MYL2
