category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	59/459	96/2084	0.614583333333333	2.79039578794481	9.54334818236689	1.30593886334803e-17	3.44767859923879e-15	3.14799999691261e-15	AGT/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/CD36/CMA1/COL3A1/COX4I1/COX5A/COX5B/COX6C/CPT2/CTSD/CYC1/MMP2/MMP9/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PDHA1/PDHB/PPP1CA/SDHA/SDHB/SDHC/SLC25A4/TNNI3/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	59
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	43/459	64/2084	0.671875	3.0505174291939	8.85323643065468	4.29656852701336e-15	5.67147045565763e-13	5.17849575097926e-13	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/COX6C/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	43
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	46/459	77/2084	0.597402597402597	2.71239000650765	8.1357698795546	3.0926936440413e-13	2.72157040675634e-11	2.4850064718788e-11	ACSL1/ACTL6A/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/COX6C/CPT2/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	46
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	51/459	91/2084	0.56043956043956	2.54456654456654	8.00567518851045	4.92913384890128e-13	3.25322834027484e-11	2.9704517142063e-11	AKR1C2/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/COX6C/CYC1/EGFR/EPHX1/GSTM2/GSTM3/MGST1/MGST3/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC/SLC25A4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	51
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	36/459	56/2084	0.642857142857143	2.9187675070028	7.73404489281665	6.39464041780945e-12	3.37637014060339e-10	3.08288980142814e-10	CASP3/CASP7/COX4I1/COX5A/COX5B/COX6C/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PKLR/SDHA/SDHB/SDHC/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	36
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	60/459	128/2084	0.46875	2.12826797385621	7.00095224832472	1.00703501888408e-10	4.43095408308995e-09	4.04580735656937e-09	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/CASP3/COX4I1/COX5A/COX5B/COX6C/CYC1/HSPA5/HTRA2/MAOA/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/SDHA/SDHB/SDHC/SLC25A4/UCHL1/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	60
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	25/459	34/2084	0.735294117647059	3.33845956683327	7.30494058968325	1.51634342844647e-10	5.71878093014096e-09	5.22169391149235e-09	ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/CACNA2D1/CASQ2/COX4I1/COX5A/COX5B/COX6C/CYC1/HRC/MYH7/MYL2/MYL3/TNNI3/TPM1/TPM2/TPM4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	25
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	60/459	131/2084	0.458015267175573	2.07952901262286	6.78177129671831	3.31179618637222e-10	1.09289274150283e-08	9.97896482472683e-09	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/C5/CASP3/CAV1/COX4I1/COX5A/COX5B/COX6C/CYC1/HSPA5/HSPA8/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/SDHA/SDHB/SDHC/SLC25A4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	60
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	63/459	145/2084	0.43448275862069	1.97268424611224	6.45195416726649	1.70783348424957e-09	5.00964488713208e-08	4.57419728530003e-08	APP/ATP2A1/ATP2A2/ATP2A3/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/CASP3/CASP7/COX4I1/COX5A/COX5B/COX6C/CYC1/EIF2AK2/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/RTN4/SDHA/SDHB/SDHC/SLC25A4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	63
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	56/459	130/2084	0.430769230769231	1.95582369700017	5.98014184095039	2.26124766174806e-08	5.96969382701487e-07	5.45079699516111e-07	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5PB/ATP5PD/ATP5PO/CASP3/COX4I1/COX5A/COX5B/COX6C/CYC1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PSMA1/PSMA2/PSMA3/PSMA4/PSMA5/PSMA6/PSMA7/PSMB1/PSMB2/PSMB3/PSMB4/SDHA/SDHB/SDHC/SLC25A4/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1/VDAC2/VDAC3	56
