ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-8953854	Metabolism of RNA	307	0.666199958709446	2.303633731845	5.737252107079e-23	4.40047236612959e-20	2.91693975549385e-20	490	tags=29%, list=15%, signal=28%	TRA2B/SNRPD1/LSM7/RBMX/SNRPF/PABPC1/SNRPD2/RAE1/LSM6/SNRPA/PSMB10/SRSF1/YBX1/PHAX/LSM4/PSMB9/SF3B4/SNRPE/PSMB8/TPR/CPSF6/PUF60/SRSF2/SNRNP70/NUDT21/HNRNPA1/SUPT5H/PPIL4/DKC1/CPSF7/HSPA8/SNRPD3/RPS11/TCERG1/PPIE/LSM2/DNAJC8/PLRG1/PABPN1/SRSF6/SF3B2/PPIL1/PPIH/RRP9/PSMA2/SF3A1/PSMB2/ALYREF/SRSF5/PSMB3/PSMA4/OSGEP/PSMB4/HNRNPF/SNRNP200/THOC1/KHSRP/U2SURP/RPL12/LSM1/RPL10/PSMA1/EMG1/PPIL3/SKIC3/PSMA7/PSMB1/ADAR/PSMA6/RPS8/PSMD10/TUT4/DDX46/REXO2/WDR12/LSM8/PSMA3/PSMA5/CSTF1/RPL8/SRRM1/PPWD1/SRSF4/RBM17/PTBP1/RPS23/SRSF11/RPL18/EIF4B/EPRS1
R-HSA-1428517	Aerobic respiration and respiratory electron transport	113	-0.849714763740247	-2.20093119282302	2.7482779128931e-18	1.0539645795945e-15	6.98641174698615e-16	410	tags=66%, list=13%, signal=60%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/IDH3G/PDHX/COX6B1/LDHB/GOT1/NDUFA9/NDUFA10/ACO2/ETFDH/DLAT/IDH3B/NDUFV1/UQCRH/OGDH/NDUFS6/ATP5PB/ETFB/UQCRB/GOT2/ATP5MF/MDH1/NDUFB10/IDH3A/ATP5MG/SUCLG2/COX6C/ETFA/NDUFV2/SUCLG1/COX5A/NNT/GPT/NDUFA4/NDUFA13/NDUFB7/PDHB/NDUFA8/NDUFB11/NDUFA2/COX5B/SUCLA2/ATP5PO/ATP5F1A/VDAC1/NDUFS1/NDUFB9/ATP5MK/SLC25A11/NDUFS7/CS/SDHB/NDUFB1/ATP5ME/UQCRC2/NDUFA5/COX4I1/SDHC/SLC25A12/NDUFB4/UQCR10/ATP5F1B/ATP5PD/PDHA1/UQCRC1/ATP5F1D/ATP5F1C/NDUFS2/NDUFS3/CYC1/SLC25A4
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	116	0.774854130454253	2.44401364609873	4.59351901772325e-16	1.17440969553124e-13	7.78480591424677e-14	477	tags=45%, list=15%, signal=40%	TRA2B/SNRPD1/LSM7/RBMX/SNRPF/SNRPD2/RAE1/LSM6/SNRPA/SRSF1/YBX1/LSM4/SF3B4/SNRPE/TPR/CPSF6/PUF60/SRSF2/SNRNP70/NUDT21/HNRNPA1/PPIL4/CPSF7/HSPA8/SNRPD3/TCERG1/PPIE/LSM2/DNAJC8/PLRG1/PABPN1/SRSF6/SF3B2/PPIL1/PPIH/SF3A1/ALYREF/SRSF5/HNRNPF/SNRNP200/THOC1/U2SURP/PPIL3/DDX46/LSM8/CSTF1/SRRM1/PPWD1/SRSF4/RBM17/PTBP1/SRSF11
R-HSA-72163	mRNA Splicing - Major Pathway	95	0.785279855969694	2.39334182489273	2.99702338200844e-14	4.59743386800095e-12	3.04749956528437e-12	477	tags=46%, list=15%, signal=41%	TRA2B/SNRPD1/LSM7/RBMX/SNRPF/SNRPD2/LSM6/SNRPA/SRSF1/YBX1/LSM4/SF3B4/SNRPE/PUF60/SRSF2/SNRNP70/HNRNPA1/PPIL4/HSPA8/SNRPD3/TCERG1/PPIE/LSM2/DNAJC8/PLRG1/SRSF6/SF3B2/PPIL1/PPIH/SF3A1/ALYREF/SRSF5/HNRNPF/SNRNP200/U2SURP/PPIL3/DDX46/LSM8/SRRM1/PPWD1/SRSF4/RBM17/PTBP1/SRSF11
R-HSA-72172	mRNA Splicing	95	0.785279855969694	2.39334182489273	2.99702338200844e-14	4.59743386800095e-12	3.04749956528437e-12	477	tags=46%, list=15%, signal=41%	TRA2B/SNRPD1/LSM7/RBMX/SNRPF/SNRPD2/LSM6/SNRPA/SRSF1/YBX1/LSM4/SF3B4/SNRPE/PUF60/SRSF2/SNRNP70/HNRNPA1/PPIL4/HSPA8/SNRPD3/TCERG1/PPIE/LSM2/DNAJC8/PLRG1/SRSF6/SF3B2/PPIL1/PPIH/SF3A1/ALYREF/SRSF5/HNRNPF/SNRNP200/U2SURP/PPIL3/DDX46/LSM8/SRRM1/PPWD1/SRSF4/RBM17/PTBP1/SRSF11
R-HSA-611105	Respiratory electron transport	66	-0.849128787625493	-2.06934050991301	1.57208723164399e-11	2.00965151111823e-09	1.33213707523517e-09	410	tags=70%, list=13%, signal=62%	NDUFS5/NDUFA11/NDUFAB1/UQCRFS1/SDHA/COX6B1/GOT1/NDUFA9/NDUFA10/ETFDH/NDUFV1/UQCRH/NDUFS6/ETFB/UQCRB/GOT2/MDH1/NDUFB10/COX6C/ETFA/NDUFV2/COX5A/NDUFA4/NDUFA13/NDUFB7/NDUFA8/NDUFB11/NDUFA2/COX5B/NDUFS1/NDUFB9/SLC25A11/NDUFS7/SDHB/NDUFB1/UQCRC2/NDUFA5/COX4I1/SDHC/SLC25A12/NDUFB4/UQCR10/UQCRC1/NDUFS2/NDUFS3/CYC1
R-HSA-397014	Muscle contraction	67	-0.80248098452143	-1.95736791880495	1.09130869077664e-08	1.19576252260812e-06	7.92634733300927e-07	431	tags=54%, list=13%, signal=48%	TPM3/TNNT3/ACTA1/MYL9/ATP1A1/NEB/ANXA6/DMD/DES/TPM1/ATP2A2/MYL6B/TPM2/ACTG2/TMOD1/TNNT1/TNNI2/ATP2A3/TTN/CASQ2/MYBPC1/TNNC2/ALDH2/MYBPC2/ACTN2/TNNI3/TNNI1/TCAP/ATP1B1/TRIM72/ATP2A1/MYL1/CASQ1/MYL3/MYL2/MYL11
R-HSA-1280215	Cytokine Signaling in Immune system	246	0.529470785914958	1.78370818841418	2.00037149228654e-08	1.91785616822972e-06	1.27128872470315e-06	403	tags=20%, list=12%, signal=18%	ISG15/MSN/IL36RN/SUMO1/RAE1/PSMB10/YBX1/MMP2/PSMB9/MMP9/TRIM29/PSMB8/TPR/APP/EIF2AK2/HSPA8/FLNB/TXLNA/EIF2S3/PSMA2/IKBIP/PSMB2/LMNB1/NRAS/PSMB3/PSMA4/PSMB4/HNRNPF/PSMA1/PSMA7/CASP3/IFI30/PSMB1/ADAR/PSMA6/PSMD10/TGFB1/IKBKG/HLA-E/RALA/FLNA/PSMA3/LCN2/PSMA5/SDC1/HLA-A/GBP1/HLA-F
R-HSA-422475	Axon guidance	240	0.512506239560084	1.72209787197849	1.79359146360667e-07	1.52853850287369e-05	1.01322184435324e-05	395	tags=17%, list=12%, signal=16%	COL4A2/COL4A1/MSN/COL3A1/SHTN1/PABPC1/PSMB10/EGFR/MMP2/LAMB1/PSMB9/ENAH/MMP9/PSMB8/COL5A2/COL5A1/EZR/HSPA8/RPS11/PSMA2/AGRN/PSMB2/RDX/NRAS/PSMB3/PSMA4/DLG1/PSMB4/RPL12/RPL10/PSMA1/PSMA7/PSMB1/PSMA6/RPS8/PSMD10/PSMA3/FGFR1/PSMA5/ROCK1
R-HSA-9837999	Mitochondrial protein degradation	62	-0.779223213142001	-1.86814809726346	5.97398077412852e-07	4.58204325375658e-05	3.03729759358324e-05	303	tags=44%, list=9%, signal=40%	ALDH1B1/ACO2/HSPD1/NDUFV1/OGDH/LONP1/IDH3A/BDH1/ATP5MG/SUCLG2/COX5A/NDUFA13/PDHB/NDUFA2/COX5B/ATP5PO/ALDH2/ATP5F1A/NDUFS1/CS/UQCRC2/COX4I1/ATP5F1B/ATP5PD/PDHA1/ATP5F1C/NDUFS3
