ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-1428517	Aerobic respiration and respiratory electron transport	68/541	113/2546	0.601769911504425	2.83198926929809	10.3460942451751	3.23852929432552e-20	2.30907138685409e-17	2.04538692273191e-17	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/COX4I1/COX5A/COX5B/COX6C/CS/CYC1/DLAT/ETFA/ETFB/ETFDH/GOT2/GPT/IDH3A/IDH3B/IDH3G/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/NNT/OGDH/PDHA1/PDHB/PDHX/PKLR/SDHA/SDHB/SDHC/SLC25A11/SLC25A12/SLC25A4/SUCLA2/SUCLG1/SUCLG2/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH/VDAC1	68
R-HSA-611105	Respiratory electron transport	40/541	66/2546	0.606060606060606	2.85218170615583	7.91799193695602	2.21922966834144e-12	7.91155376763724e-10	7.00809368949929e-10	COX4I1/COX5A/COX5B/COX6C/CYC1/ETFA/ETFB/ETFDH/GOT2/MDH1/NDUFA10/NDUFA13/NDUFA2/NDUFA4/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2/SDHA/SDHB/SDHC/SLC25A11/SLC25A12/UQCR10/UQCRB/UQCRC1/UQCRC2/UQCRH	40
R-HSA-163210	Formation of ATP by chemiosmotic coupling	11/541	11/2546	1	4.70609981515712	6.39749286214781	3.67859457920807e-08	8.74279311658452e-06	7.74440964043805e-06	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO	11
R-HSA-6799198	Complex I biogenesis	19/541	28/2546	0.678571428571429	3.1934248745709	6.06120893103653	1.24817779717984e-07	2.22487692347306e-05	1.97080704817869e-05	NDUFA10/NDUFA13/NDUFA2/NDUFA5/NDUFA8/NDUFA9/NDUFB1/NDUFB10/NDUFB11/NDUFB4/NDUFB7/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFS7/NDUFV1/NDUFV2	19
R-HSA-390522	Striated Muscle Contraction	17/541	25/2546	0.68	3.20014787430684	5.74143946395652	5.70715700325506e-07	8.13840588664171e-05	7.20904042516428e-05	ACTN2/MYBPC1/MYBPC2/MYL1/MYL2/MYL3/TCAP/TMOD1/TNNI3/TNNC2/TNNI1/TNNI2/TNNT1/TPM1/TPM2/TPM4/TTN	17
R-HSA-9837999	Mitochondrial protein degradation	29/541	62/2546	0.467741935483871	2.20124023612188	4.97319235179835	5.03815646787963e-06	0.000598700926933029	0.000530332259776803	ALDH1B1/ALDH2/APP/ATP5F1A/ATP5F1B/ATP5F1C/ATP5MG/ATP5PD/ATP5PO/BDH1/COX4I1/COX5A/COX5B/CS/HSPD1/HTRA2/IDH3A/LONP1/NADK2/NDUFA13/NDUFA2/NDUFS1/NDUFS3/NDUFV1/OGDH/PDHA1/PDHB/SUCLG2/UQCRC2	29
R-HSA-8949613	Cristae formation	12/541	16/2546	0.75	3.52957486136784	5.27148050552145	5.95476084626874e-06	0.000606534926198516	0.000537271655302443	APOO/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO	12
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	43/541	116/2546	0.370689655172414	1.74450251768755	4.26262733843601	4.67620684245633e-05	0.00416766934833921	0.00369174224404447	ALYREF/CPSF6/CPSF7/DDX46/DNAJC8/HNRNPA1/HNRNPF/HSPA8/LSM2/LSM4/LSM6/LSM7/NUDT21/PABPN1/PLRG1/PPIE/PPIH/PPIL1/PPIL3/PPIL4/PUF60/RAE1/RBMX/SF3A1/SF3B2/SF3B4/SNRNP200/SNRNP70/SNRPA/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SRSF1/SRSF2/SRSF5/SRSF6/TCERG1/THOC1/TPR/TRA2B/YBX1	43
R-HSA-397014	Muscle contraction	28/541	67/2546	0.417910447761194	1.96672828096118	4.16474963822425	9.52168125295219e-05	0.00754328748150546	0.00668188158101908	ACTN2/ALDH2/ANXA6/ATP1A1/ATP1B1/ATP2A1/ATP2A2/ATP2A3/CASQ1/CASQ2/MYBPC1/MYBPC2/MYL1/MYL2/MYL3/MYL11/TCAP/TMOD1/TNNI3/TNNC2/TNNI1/TNNI2/TNNT1/TPM1/TPM2/TPM4/TRIM72/TTN	28
R-HSA-72163	mRNA Splicing - Major Pathway	36/541	95/2546	0.378947368421053	1.78336414048059	4.04146825364664	0.000116915882632363	0.00757827493789769	0.00671287364396341	ALYREF/DDX46/DNAJC8/HNRNPA1/HNRNPF/HSPA8/LSM2/LSM4/LSM6/LSM7/PLRG1/PPIE/PPIH/PPIL1/PPIL3/PPIL4/PUF60/RBMX/SF3A1/SF3B2/SF3B4/SNRNP200/SNRNP70/SNRPA/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SRSF1/SRSF2/SRSF5/SRSF6/TCERG1/TRA2B/YBX1	36
R-HSA-72172	mRNA Splicing	36/541	95/2546	0.378947368421053	1.78336414048059	4.04146825364664	0.000116915882632363	0.00757827493789769	0.00671287364396341	ALYREF/DDX46/DNAJC8/HNRNPA1/HNRNPF/HSPA8/LSM2/LSM4/LSM6/LSM7/PLRG1/PPIE/PPIH/PPIL1/PPIL3/PPIL4/PUF60/RBMX/SF3A1/SF3B2/SF3B4/SNRNP200/SNRNP70/SNRPA/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SRSF1/SRSF2/SRSF5/SRSF6/TCERG1/TRA2B/YBX1	36
R-HSA-3000178	ECM proteoglycans	20/541	46/2546	0.434782608695652	2.04613035441614	3.71860503197062	0.000518276461230604	0.0307942597381184	0.0272777084858212	AGRN/APP/BGN/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/DCN/ITGA7/ITGB6/LAMA3/LAMA4/LAMB1/LUM/SERPINE1/TNC/TNXB/VCAN/VTN	20
