Gen	Fármaco	Tipo interacción	Score	log2FC	FDR	Dirección DE
SLC25A4	ISOSPAGLUMIC ACID	agonist	2.748	-5.99	0	down
SLC25A4	VU0650786	modulator	2.748	-5.99	0	down
SLC25A4	LY2389575	modulator	2.748	-5.99	0	down
SLC25A4	COMPOUND 3 [PMID: 21105727]	modulator	1.374	-5.99	0	down
SLC25A4	COMPOUND 4 [PMID: 21105727]	modulator	1.374	-5.99	0	down
SLC25A4	LY395756	inhibitor	1.374	-5.99	0	down
SLC25A4	(2R,3R)-APDC	agonist	1.374	-5.99	0	down
SLC25A4	RO4491533	modulator	1.374	-5.99	0	down
SLC25A4	COMPOUND 2 [PMID: 21105727]	modulator	1.374	-5.99	0	down
SLC25A4	LY379268	agonist	0.916	-5.99	0	down
SLC25A4	(+)-MCPG	inhibitor	0.916	-5.99	0	down
SLC25A4	DCG-IV	agonist	0.687	-5.99	0	down
SLC25A4	[3H]LY341495	inhibitor	0.687	-5.99	0	down
SLC25A4	EGLUMEGAD	agonist	0.687	-5.99	0	down
SLC25A4	(1S,3R)-ACPD	agonist	0.55	-5.99	0	down
SLC25A4	CLODRONIC ACID	NA	0.5	-5.99	0	down
SLC25A4	L-CCG-I	agonist	0.458	-5.99	0	down
SLC25A4	LY341495	inhibitor	0.393	-5.99	0	down
SLC25A4	GLUTAMIC ACID	agonist	0.275	-5.99	0	down
HSPB6	AZX-100	NA	52.204	-4.923	0	down
MYL2	DANICAMTIV	activator	2.486	-4.907	0.002	down
MYL2	OMECAMTIV MECARBIL	activator	2.175	-4.907	0.002	down
MYL2	MAVACAMTEN	inhibitor	1.933	-4.907	0.002	down
FHL1	COMPOUND 15 [PMID: 24900237]	inhibitor	17.401	-4.701	0.004	down
MYL3	DANICAMTIV	activator	2.486	-4.657	0.003	down
MYL3	OMECAMTIV MECARBIL	activator	2.175	-4.657	0.003	down
MYL3	MAVACAMTEN	inhibitor	1.933	-4.657	0.003	down
MYH7	DANICAMTIV	activator	2.486	-4.573	0.004	down
MYH7	OMECAMTIV MECARBIL	activator	2.175	-4.573	0.004	down
MYH7	MAVACAMTEN	inhibitor	1.933	-4.573	0.004	down
PYGM	PSN357	NA	8.701	-4.013	0.002	down
PYGM	MIFEPRISTONE	NA	1.864	-4.013	0.002	down
PADI2	CHEMBL:CHEMBL1910971	NA	8.701	-3.859	0.003	down
PADI2	O-F-AMIDINE	NA	5.8	-3.859	0.003	down
PADI2	STREPTONIGRIN	NA	1.74	-3.859	0.003	down
ATP2A1	VANADATE	NA	5.22	-3.756	0.004	down
ATP2A1	ARTENIMOL	NA	5.22	-3.756	0.004	down
ATP2A1	PYRONARIDINE	NA	5.22	-3.756	0.004	down
ATP2A1	OZ277	NA	5.22	-3.756	0.004	down
ATP2A1	PIPERAQUINE	NA	5.22	-3.756	0.004	down
ATP2A1	THAPSIGARGIN	NA	1.305	-3.756	0.004	down
ATP2A1	MIPSAGARGIN	inhibitor	1.305	-3.756	0.004	down
ATP2A1	ARTESUNATE	NA	0.87	-3.756	0.004	down
ATP2A1	ARTEMISININ	NA	0.58	-3.756	0.004	down
ATP2A1	CELECOXIB	NA	0.156	-3.756	0.004	down
AK1	LEVODOPA	agonist	1.45	-3.617	0.006	down
ADH1B	FOMEPIZOLE	inhibitor	13.051	-3.615	0.008	down
ADH1B	ACETALDEHYDE	NA	6.961	-3.615	0.008	down
ADH1B	NITREFAZOLE	inhibitor	2.486	-3.615	0.008	down
EEF1A2	PLITIDEPSIN	inhibitor	26.102	-3.516	0.007	down
LAMB3	FENTANYL CITRATE	NA	1.74	3.444	0.001	up
LAMB3	OCRIPLASMIN	cleavage	0.687	3.444	0.001	up
GYG1	SEMAGACESTAT	NA	6.525	-3.431	0.013	down
SLC4A1	METOPROLOL	NA	4.016	-3.414	0.001	down
SLC4A1	ATENOLOL	NA	1.45	-3.414	0.001	down
TNNI3	LEVOSIMENDAN	positive modulator	1.864	-3.409	0.017	down
TNNI3	CHEMBL:CHEMBL1601846	NA	0.567	-3.409	0.017	down
TNNI3	PYROGALLOL RED	NA	0.522	-3.409	0.017	down
TNNI3	PURPUROGALLIN	NA	0.363	-3.409	0.017	down
CD36	ABT-510	NA	13.051	-3.352	0.002	down
AOC3	TIMOLUMAB	NA	26.102	-3.333	0.001	down
AOC3	VEPALIMOMAB	inhibitor	13.051	-3.333	0.001	down
AOC3	HYDRALAZINE	NA	1.305	-3.333	0.001	down
AOC3	CLONIDINE HYDROCHLORIDE	NA	1.004	-3.333	0.001	down
TNNC2	TIRASEMTIV	NA	17.401	-3.329	0.022	down
TNNC2	RELDESEMTIV	activator	11.601	-3.329	0.022	down
UQCR10	FAMOXADONE	NA	104.408	-3.289	0.003	down
ATP5F1C	ISOCHLOROGENIC ACID A	blocker	4.35	-3.251	0.001	down
ATP5F1C	FORSYTHOSIDE B	blocker	4.35	-3.251	0.001	down
ATP5F1C	KS0365	activator	4.35	-3.251	0.001	down
ATP5F1C	14-DEOXY-11,12-DIDEHYDROANDROGRAPHOLIDE	inhibitor	4.35	-3.251	0.001	down
ATP5F1C	TRPVICIN	blocker	4.35	-3.251	0.001	down
ATP5F1C	COMPOUND 74A [PMID: 27077528]	inhibitor	4.35	-3.251	0.001	down
ATP5F1C	VERBASCOSIDE	blocker	4.35	-3.251	0.001	down
ATP5F1C	ISOCHLOROGENIC ACID B	blocker	2.175	-3.251	0.001	down
ATP5F1C	CITRUSININE II	blocker	2.175	-3.251	0.001	down
ATP5F1C	ASPIRIN-TRIGGERED RESOLVIN D1	blocker	2.175	-3.251	0.001	down
ATP5F1C	OSTHOLE	blocker	1.45	-3.251	0.001	down
ATP5F1C	ISOPENTENYL PYROPHOSPHATE	blocker	1.45	-3.251	0.001	down
LAMA3	OCRIPLASMIN	cleavage	1.374	3.22	0	up
PDHA1	DEVIMISTAT	NA	6.525	-3.171	0.002	down
ACTN2	ASN04450772	agonist	4.746	-3.161	0.013	down
ACTN2	ASN04885796	agonist	4.746	-3.161	0.013	down
ACTN2	ASN04421891	agonist	4.746	-3.161	0.013	down
ACTN2	ASN06917370	agonist	4.746	-3.161	0.013	down
ACTN2	ASN02563583	agonist	4.746	-3.161	0.013	down
ACTN2	UDP-GLUCOSE	agonist	2.373	-3.161	0.013	down
ACTN2	UDP-GALACTOSE	agonist	2.373	-3.161	0.013	down
ACTN2	URIDINE-5'-DIPHOSPHATE	agonist	1.582	-3.161	0.013	down
ACTN2	LTD4	agonist	1.582	-3.161	0.013	down
ACTN2	LTC4	agonist	1.582	-3.161	0.013	down
ACTN2	ADENOSINE TRIPHOSPHATE	agonist	0.279	-3.161	0.013	down
NDUFS3	NV-128	inhibitor	0.348	-3.11	0	down
NDUFS3	ME-344	inhibitor	0.341	-3.11	0	down
NDUFS3	METFORMIN HYDROCHLORIDE	inhibitor	0.311	-3.11	0	down
SERPINE1	THROMBOLYTIC AGENT	NA	3.071	3.093	0.009	up
SERPINE1	TIPLASININ	NA	3.071	3.093	0.009	up
SERPINE1	ALEPLASININ	inhibitor	3.071	3.093	0.009	up
SERPINE1	THR-18	NA	1.535	3.093	0.009	up
SERPINE1	DIAPLASININ	NA	1.535	3.093	0.009	up
SERPINE1	DEFIBROTIDE	NA	1.024	3.093	0.009	up
SERPINE1	CETRORELIX	NA	1.024	3.093	0.009	up
SERPINE1	GLYCYRRHETINIC ACID	NA	0.512	3.093	0.009	up
SERPINE1	NORETHINDRONE ACETATE	NA	0.512	3.093	0.009	up
SERPINE1	RECOMBINANT INTERLEUKIN	NA	0.439	3.093	0.009	up
SERPINE1	TINZAPARIN SODIUM	NA	0.439	3.093	0.009	up
SERPINE1	URIDINE	NA	0.384	3.093	0.009	up
SERPINE1	RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1	NA	0.384	3.093	0.009	up
SERPINE1	ESTROGENS, CONJUGATED (USP)	NA	0.341	3.093	0.009	up
SERPINE1	ORAL CONTRACEPTIVE	NA	0.279	3.093	0.009	up
SERPINE1	BROXURIDINE	NA	0.256	3.093	0.009	up
SERPINE1	ORLISTAT	NA	0.236	3.093	0.009	up
SERPINE1	CAPTOPRIL	NA	0.236	3.093	0.009	up
SERPINE1	LEVOTHYROXINE	NA	0.192	3.093	0.009	up
SERPINE1	UROKINASE	NA	0.192	3.093	0.009	up
SERPINE1	GM-CSF	NA	0.192	3.093	0.009	up
SERPINE1	METHYLPREDNISOLONE	NA	0.171	3.093	0.009	up
SERPINE1	NIMODIPINE	NA	0.162	3.093	0.009	up
SERPINE1	ALITRETINOIN	NA	0.146	3.093	0.009	up
SERPINE1	ARSENIC TRIOXIDE	NA	0.118	3.093	0.009	up
SERPINE1	ARGIPRESSIN	NA	0.118	3.093	0.009	up
SERPINE1	FLUOXETINE HYDROCHLORIDE	NA	0.11	3.093	0.009	up
SERPINE1	RETINOIC ACID AGENT	NA	0.099	3.093	0.009	up
SERPINE1	CITALOPRAM	NA	0.088	3.093	0.009	up
SERPINE1	EPIRUBICIN	NA	0.085	3.093	0.009	up
SERPINE1	AZATHIOPRINE	NA	0.081	3.093	0.009	up
SERPINE1	HYDROCHLOROTHIAZIDE	NA	0.067	3.093	0.009	up
SERPINE1	ANTIDEPRESSANT AGENT	NA	0.059	3.093	0.009	up
SERPINE1	DEXAMETHASONE	NA	0.036	3.093	0.009	up
PTK7	COFETUZUMAB PELIDOTIN	NA	52.204	3.079	0	up
LUM	FAS LIGAND	NA	8.701	-3.078	0.004	down
NDUFB4	NV-128	inhibitor	0.348	-3.078	0.002	down
NDUFB4	ME-344	inhibitor	0.341	-3.078	0.002	down
NDUFB4	METFORMIN HYDROCHLORIDE	inhibitor	0.311	-3.078	0.002	down
NDUFB1	NV-128	inhibitor	0.348	-3.067	0.005	down
NDUFB1	ME-344	inhibitor	0.341	-3.067	0.005	down
NDUFB1	METFORMIN HYDROCHLORIDE	inhibitor	0.311	-3.067	0.005	down
COX4I1	COMPOUND 9 [PMID: 11606127]	inhibitor	52.204	-3.056	0.003	down
NDUFS2	NV-128	inhibitor	0.348	-3.051	0	down
NDUFS2	ME-344	inhibitor	0.341	-3.051	0	down
NDUFS2	METFORMIN HYDROCHLORIDE	inhibitor	0.311	-3.051	0	down
F5	ESTROGENS	NA	4.539	-3.026	0.007	down
F5	DROTRECOGIN ALFA	inhibitor	1.135	-3.026	0.007	down
F5	RLY-2608	modulator	0.567	-3.026	0.007	down
F5	RISOVALISIB	inhibitor	0.567	-3.026	0.007	down
F5	COMPOUND 17 [PMID: 38477582]	modulator	0.567	-3.026	0.007	down
F5	GILMELISIB	inhibitor	0.567	-3.026	0.007	down
F5	HS-173	inhibitor	0.567	-3.026	0.007	down
F5	PI 3-KG INHIBITOR II	inhibitor	0.284	-3.026	0.007	down
F5	AS-252424	inhibitor	0.284	-3.026	0.007	down
F5	GSK1059615	inhibitor	0.284	-3.026	0.007	down
F5	DROTRECOGIN ALFA (ACTIVATED)	inhibitor	0.284	-3.026	0.007	down
F5	COMPOUND 22 [PMID: 24754609]	inhibitor	0.284	-3.026	0.007	down
F5	QUINOSTATIN	inhibitor	0.284	-3.026	0.007	down
F5	STX-478	inhibitor	0.284	-3.026	0.007	down
F5	COMPOUND 7 [PMID: 31955578]	inhibitor	0.189	-3.026	0.007	down
F5	PF-06843195	inhibitor	0.189	-3.026	0.007	down
F5	PIK-108	modulator	0.189	-3.026	0.007	down
