drug_name	drug_type	logFC_TVsS	direction
OMECAMTIV MECARBIL	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.907	down
MAVACAMTEN	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
DANICAMTIV	Small molecule	-4.907	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
MAVACAMTEN	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
DANICAMTIV	Small molecule	-4.657	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
MAVACAMTEN	Small molecule	-4.573	down
OMECAMTIV MECARBIL	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
DANICAMTIV	Small molecule	-4.573	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
MIPSAGARGIN	Small molecule	-3.756	down
FOMEPIZOLE	Small molecule	-3.615	down
FOMEPIZOLE	Small molecule	-3.615	down
FOMEPIZOLE	Small molecule	-3.615	down
NITREFAZOLE	Small molecule	-3.615	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
PLITIDEPSIN	Small molecule	-3.516	down
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
OCRIPLASMIN	Protein	3.444	up
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
LEVOSIMENDAN	Small molecule	-3.409	down
VEPALIMOMAB	Antibody	-3.333	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
RELDESEMTIV	Small molecule	-3.329	down
