Gen	UniProt ID	log2FC	FDR	Dirección
PHKA1	P46020	3.744	0.00613	Up
LAMB3	Q13751	3.444	9.23e-4	Up
LAMA3	Q16787	3.22	1.38e-4	Up
SERPINE1	P05121	3.093	0.00946	Up
PTK7	Q13308	3.079	1.43e-4	Up
IL36RN	Q9UBH0	3.043	0.0185	Up
TNC	P24821	2.939	0.00197	Up
ISG15	P05161	2.844	0.00183	Up
FRRS1	Q6ZNA5	2.837	0.00861	Up
RNASE2	P10153	2.836	0.0169	Up
COL4A1	P02462	2.658	0.00174	Up
LSM7	Q9UK45	2.653	0.00755	Up
STARD5	Q9NSY2	2.646	0.00483	Up
EIF2S3B	Q2VIR3	2.644	0.0128	Up
SUB1	P53999	2.635	0.00486	Up
MCM3	P25205	2.621	0.00876	Up
CTHRC1	Q96CG8	2.57	0.00474	Up
PSPH	P78330	2.541	0.00454	Up
HMGB3	O15347	2.539	0.0473	Up
COL4A2	P08572	2.516	6.39e-4	Up
S100A2	P29034	2.498	0.00851	Up
MMP9	P14780	2.447	0.02	Up
GGH	Q92820	2.439	0.00161	Up
SERPINB4	P48594	2.387	0.0172	Up
TRA2B	P62995	2.375	0.00183	Up
S100A7	P31151	2.355	0.0323	Up
RNASE6	Q93091	2.35	0.00738	Up
COL3A1	P02461	2.325	0.00177	Up
PSMB10	P40306	2.317	0.0079	Up
MMP11	P24347	2.308	0.0281	Up
PABPC1	P11940	2.297	0.00544	Up
TAX1BP3	O14907	2.297	0.00562	Up
MSN	P26038	2.282	0.00155	Up
RNASE3	P12724	2.278	0.0104	Up
SRSF1	Q07955	2.265	0.00813	Up
SNRPF	P62306	2.261	0.0048	Up
SNRPA	P09012	2.26	0.00684	Up
EPX	P11678	2.249	0.0291	Up
RBP1	O95153	2.234	0.00197	Up
EGFR	P00533	2.23	0.00684	Up
LSM6	P62312	2.226	0.00618	Up
FKBP9	O95302	2.222	0.00496	Up
FCN1	O00602	2.218	0.0129	Up
RBBP4	Q09028	2.215	0.00384	Up
SUMO1	P63165	2.214	0.00534	Up
SNRPD1	P62314	2.212	0.002	Up
AKR1E2	Q96JD6	2.21	0.00624	Up
HNRNPUL1	Q9BUJ2	2.181	0.0069	Up
PLBD1	Q6P4A8	2.181	0.0216	Up
SUMF1	Q8NBK3	2.171	0.0165	Up
BRD3	Q15059	2.162	0.0426	Up
