farmaco	clase_regulatoria	n_fuentes	fuentes	fase_clinica_max
AFATINIB	A: Aprobado en HNSCC	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
CETUXIMAB	A: Aprobado en HNSCC	3	ChEMBL|DGIdb|OpenTargets	4
DACOMITINIB ANHYDROUS	A: Aprobado en HNSCC	3	ChEMBL|DGIdb|OpenTargets	4
ERLOTINIB	A: Aprobado en HNSCC	3	DGIdb|L2S2|OpenTargets	4
GEFITINIB	A: Aprobado en HNSCC	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
LAPATINIB	A: Aprobado en HNSCC	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
METFORMIN	C: Aprobado no oncológico	3	DGIdb|L2S2|OpenTargets	4
NIMOTUZUMAB	A: Aprobado en HNSCC	3	ChEMBL|DGIdb|OpenTargets	4
PANITUMUMAB	A: Aprobado en HNSCC	3	ChEMBL|DGIdb|OpenTargets	4
VALPROIC ACID	A: Aprobado en HNSCC	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
ACETAZOLAMIDE	B: Aprobado en otros cánceres	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
AMIVANTAMAB	B: Aprobado en otros cánceres	3	ChEMBL|DGIdb|OpenTargets	4
AUMOLERTINIB	B: Aprobado en otros cánceres	3	ChEMBL|DGIdb|OpenTargets	4
AZACITIDINE	B: Aprobado en otros cánceres	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
BRIGATINIB	B: Aprobado en otros cánceres	3	ChEMBL|DGIdb|OpenTargets	4
CARFILZOMIB	B: Aprobado en otros cánceres	3	DGIdb|L2S2|OpenTargets	4
CEDAZURIDINE	B: Aprobado en otros cánceres	3	ChEMBL|DGIdb|OpenTargets	4
CRIZOTINIB	B: Aprobado en otros cánceres	3	DGIdb|L2S2|OpenTargets	4
DACOMITINIB	B: Aprobado en otros cánceres	3	ChEMBL|L2S2|OpenTargets	4
DECITABINE	B: Aprobado en otros cánceres	4	ChEMBL|DGIdb|L2S2|OpenTargets	4
